Exchange Date,Close,CloseNDAQO,CloseDIA,CloseUSO,CloseGLD
29-Jan-93,25.627352,,,,
1-Feb-93,25.809629,,,,
2-Feb-93,25.864317,,,,
3-Feb-93,26.137712,,,,
4-Feb-93,26.247089,,,,
5-Feb-93,26.228834,,,,
8-Feb-93,26.228834,,,,
9-Feb-93,26.046581,,,,
10-Feb-93,26.083036,,,,
11-Feb-93,26.210608,,,,
12-Feb-93,26.010111,,,,
16-Feb-93,25.353935,,,,
17-Feb-93,25.335711,,,,
18-Feb-93,25.317495,,,,
19-Feb-93,25.40863,,,,
22-Feb-93,25.499763,,,,
23-Feb-93,25.481522,,,,
24-Feb-93,25.809629,,,,
25-Feb-93,25.864317,,,,
26-Feb-93,25.900757,,,,
1-Mar-93,25.827852,,,,
2-Mar-93,26.210608,,,,
3-Mar-93,26.319969,,,,
4-Mar-93,26.174166,,,,
5-Mar-93,26.101254,,,,
8-Mar-93,26.684509,,,,
9-Mar-93,26.593378,,,,
10-Mar-93,26.648062,,,,
11-Mar-93,26.575144,,,,
12-Mar-93,26.301764,,,,
15-Mar-93,26.429329,,,,
16-Mar-93,26.429329,,,,
17-Mar-93,26.265301,,,,
18-Mar-93,26.429329,,,,
19-Mar-93,26.389347,,,,
22-Mar-93,26.242832,,,,
23-Mar-93,26.297777,,,,
24-Mar-93,26.297777,,,,
25-Mar-93,26.462595,,,,
26-Mar-93,26.316086,,,,
29-Mar-93,26.425987,,,,
30-Mar-93,26.499224,,,,
31-Mar-93,26.480906,,,,
1-Apr-93,26.389347,,,,
2-Apr-93,25.839941,,,,
5-Apr-93,25.96814,,,,
6-Apr-93,25.894892,,,,
7-Apr-93,25.986471,,,,
8-Apr-93,25.949833,,,,
12-Apr-93,26.316086,,,,
13-Apr-93,26.371052,,,,
14-Apr-93,26.3344,,,,
15-Apr-93,26.3344,,,,
16-Apr-93,26.3344,,,,
19-Apr-93,26.224531,,,,
20-Apr-93,26.096333,,,,
21-Apr-93,26.078018,,,,
22-Apr-93,25.748384,,,,
23-Apr-93,25.63851,,,,
26-Apr-93,25.437069,,,,
27-Apr-93,25.71175,,,,
28-Apr-93,25.656809,,,,
29-Apr-93,25.766689,,,,
30-Apr-93,25.803328,,,,
3-May-93,25.96814,,,,
4-May-93,26.059715,,,,
5-May-93,26.132956,,,,
6-May-93,26.041391,,,,
7-May-93,25.986471,,,,
10-May-93,26.041391,,,,
11-May-93,26.15127,,,,
12-May-93,26.114649,,,,
13-May-93,25.803328,,,,
14-May-93,25.785004,,,,
17-May-93,25.876581,,,,
18-May-93,25.858263,,,,
19-May-93,26.389347,,,,
20-May-93,26.462595,,,,
21-May-93,26.224531,,,,
24-May-93,26.3344,,,,
25-May-93,26.389347,,,,
26-May-93,26.718967,,,,
27-May-93,26.627419,,,,
28-May-93,26.499224,,,,
1-Jun-93,26.75561,,,,
2-Jun-93,26.718967,,,,
3-Jun-93,26.627419,,,,
4-Jun-93,26.535851,,,,
7-Jun-93,26.444281,,,,
8-Jun-93,26.206219,,,,
9-Jun-93,26.297777,,,,
10-Jun-93,26.316086,,,,
11-Jun-93,26.425987,,,,
14-Jun-93,26.389347,,,,
15-Jun-93,26.3344,,,,
16-Jun-93,26.389347,,,,
17-Jun-93,26.480906,,,,
18-Jun-93,26.262836,,,,
21-Jun-93,26.318172,,,,
22-Jun-93,26.336603,,,,
23-Jun-93,26.096844,,,,
24-Jun-93,26.447277,,,,
25-Jun-93,26.428822,,,,
28-Jun-93,26.723927,,,,
29-Jun-93,26.594807,,,,
30-Jun-93,26.594807,,,,
1-Jul-93,26.521048,,,,
2-Jul-93,26.373503,,,,
6-Jul-93,26.096844,,,,
7-Jul-93,26.170643,,,,
8-Jul-93,26.46571,,,,
9-Jul-93,26.539484,,,,
12-Jul-93,26.521048,,,,
13-Jul-93,26.5026,,,,
14-Jul-93,26.594807,,,,
15-Jul-93,26.484154,,,,
16-Jul-93,26.410383,,,,
19-Jul-93,26.391949,,,,
20-Jul-93,26.46571,,,,
21-Jul-93,26.447277,,,,
22-Jul-93,26.262836,,,,
23-Jul-93,26.391949,,,,
26-Jul-93,26.539484,,,,
27-Jul-93,26.521048,,,,
28-Jul-93,26.46571,,,,
29-Jul-93,26.613272,,,,
30-Jul-93,26.46571,,,,
2-Aug-93,26.539484,,,,
3-Aug-93,26.557941,,,,
4-Aug-93,26.557941,,,,
5-Aug-93,26.5026,,,,
6-Aug-93,26.539484,,,,
9-Aug-93,26.687042,,,,
10-Aug-93,26.668592,,,,
11-Aug-93,26.668592,,,,
12-Aug-93,26.594807,,,,
13-Aug-93,26.631697,,,,
16-Aug-93,26.77924,,,,
17-Aug-93,26.871464,,,,
18-Aug-93,27.019011,,,,
19-Aug-93,27.019011,,,,
20-Aug-93,27.037451,,,,
23-Aug-93,26.982122,,,,
24-Aug-93,27.277199,,,,
25-Aug-93,27.29565,,,,
26-Aug-93,27.314093,,,,
27-Aug-93,27.29565,,,,
30-Aug-93,27.406311,,,,
31-Aug-93,27.480097,,,,
1-Sep-93,27.44318,,,,
2-Sep-93,27.350969,,,,
3-Sep-93,27.369432,,,,
7-Sep-93,27.184988,,,,
8-Sep-93,27.092798,,,,
9-Sep-93,27.148096,,,,
10-Sep-93,27.387865,,,,
13-Sep-93,27.406311,,,,
14-Sep-93,27.29565,,,,
15-Sep-93,27.369432,,,,
16-Sep-93,27.25877,,,,
17-Sep-93,27.205912,,,,
20-Sep-93,26.983213,,,,
21-Sep-93,26.890429,,,,
22-Sep-93,27.113125,,,,
23-Sep-93,27.261593,,,,
24-Sep-93,27.187351,,,,
27-Sep-93,27.484289,,,,
28-Sep-93,27.4286,,,,
29-Sep-93,27.335833,,,,
30-Sep-93,27.280155,,,,
1-Oct-93,27.410049,,,,
4-Oct-93,27.447157,,,,
5-Oct-93,27.410049,,,,
6-Oct-93,27.391489,,,,
7-Oct-93,27.317265,,,,
8-Oct-93,27.354366,,,,
11-Oct-93,27.410049,,,,
12-Oct-93,27.447157,,,,
13-Oct-93,27.447157,,,,
14-Oct-93,27.799751,,,,
15-Oct-93,27.948221,,,,
18-Oct-93,27.873995,,,,
19-Oct-93,27.669859,,,,
20-Oct-93,27.706974,,,,
21-Oct-93,27.669859,,,,
22-Oct-93,27.539959,,,,
25-Oct-93,27.614187,,,,
26-Oct-93,27.595633,,,,
27-Oct-93,27.614187,,,,
28-Oct-93,27.818312,,,,
29-Oct-93,27.818312,,,,
1-Nov-93,27.892555,,,,
2-Nov-93,27.873995,,,,
3-Nov-93,27.521391,,,,
4-Nov-93,27.224468,,,,
5-Nov-93,27.354366,,,,
8-Nov-93,27.391489,,,,
9-Nov-93,27.410049,,,,
10-Nov-93,27.614187,,,,
11-Nov-93,27.539959,,,,
12-Nov-93,27.669859,,,,
15-Nov-93,27.651306,,,,
16-Nov-93,27.781187,,,,
17-Nov-93,27.632738,,,,
18-Nov-93,27.558521,,,,
19-Nov-93,27.502817,,,,
22-Nov-93,27.335833,,,,
23-Nov-93,27.484289,,,,
24-Nov-93,27.595633,,,,
26-Nov-93,27.614187,,,,
29-Nov-93,27.502817,,,,
30-Nov-93,27.521391,,,,
1-Dec-93,27.558521,,,,
2-Dec-93,27.632738,,,,
3-Dec-93,27.744085,,,,
6-Dec-93,27.83687,,,,
7-Dec-93,27.818312,,,,
8-Dec-93,27.818312,,,,
9-Dec-93,27.725529,,,,
10-Dec-93,27.669859,,,,
13-Dec-93,27.83687,,,,
14-Dec-93,27.632738,,,,
15-Dec-93,27.595633,,,,
16-Dec-93,27.688414,,,,
17-Dec-93,27.84059,,,,
20-Dec-93,27.877954,,,,
21-Dec-93,27.784536,,,,
22-Dec-93,27.971363,,,,
23-Dec-93,27.952711,,,,
27-Dec-93,28.102161,,,,
28-Dec-93,28.158226,,,,
29-Dec-93,28.120861,,,,
30-Dec-93,28.008738,,,,
31-Dec-93,27.859268,,,,
3-Jan-94,27.784536,,,,
4-Jan-94,27.896641,,,,
5-Jan-94,27.952711,,,,
6-Jan-94,27.952711,,,,
7-Jan-94,28.120861,,,,
10-Jan-94,28.457182,,,,
11-Jan-94,28.401121,,,,
12-Jan-94,28.307709,,,,
13-Jan-94,28.232967,,,,
14-Jan-94,28.345076,,,,
17-Jan-94,28.345076,,,,
18-Jan-94,28.382452,,,,
19-Jan-94,28.307709,,,,
20-Jan-94,28.382452,,,,
21-Jan-94,28.326406,,,,
24-Jan-94,28.214266,,,,
25-Jan-94,28.214266,,,,
26-Jan-94,28.289042,,,,
27-Jan-94,28.550629,,,,
28-Jan-94,28.625351,,,,
31-Jan-94,28.830883,,,,
1-Feb-94,28.6814,,,,
2-Feb-94,28.868258,,,,
3-Feb-94,28.737461,,,,
4-Feb-94,28.083488,,,,
7-Feb-94,28.214266,,,,
8-Feb-94,28.232967,,,,
9-Feb-94,28.345076,,,,
10-Feb-94,28.102161,,,,
11-Feb-94,28.195602,,,,
14-Feb-94,28.232967,,,,
15-Feb-94,28.382452,,,,
16-Feb-94,28.36377,,,,
17-Feb-94,28.195602,,,,
18-Feb-94,28.027424,,,,
22-Feb-94,28.307709,,,,
23-Feb-94,28.232967,,,,
24-Feb-94,27.859268,,,,
25-Feb-94,27.990055,,,,
28-Feb-94,27.990055,,,,
1-Mar-94,27.877954,,,,
2-Mar-94,27.915329,,,,
3-Mar-94,27.84059,,,,
4-Mar-94,27.915329,,,,
7-Mar-94,28.064806,,,,
8-Mar-94,27.952711,,,,
9-Mar-94,28.083488,,,,
10-Mar-94,27.859268,,,,
11-Mar-94,28.008738,,,,
14-Mar-94,28.046124,,,,
