Episode,NumStateVars,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,Strategy Wins (%)
1,1,0.7998017213958456,0.9810372401188038,-0.18123551872295818,82,79,91,
2,1,0.7274536768870568,1.0784758448627814,-0.3510221679757246,88,75,89,
3,1,0.9067665201282387,1.103876705818452,-0.19711018569021332,87,65,100,
4,1,0.7697052296349131,0.9107168104057664,-0.1410115807708533,92,75,85,
5,1,0.7714449433722906,0.931873305749749,-0.1604283623774584,88,70,94,
6,1,0.8065044648577646,1.0827554921910438,-0.2762510273332792,70,92,90,
7,1,0.8144542385975229,0.9693069306930695,-0.15485269209554664,82,95,75,
8,1,0.8477139609714336,1.020460219255402,-0.1727462582839684,92,80,80,
9,1,0.7894643944109783,0.8410753240087261,-0.05161092959774782,87,95,70,
10,1,0.8303361752490933,0.9203876568166965,-0.09005148156760323,79,83,90,
11,1,0.6762776914737382,1.0738086707273378,-0.3975309792535996,87,88,77,
12,1,0.7638368931176358,0.9587432319072665,-0.1949063387896307,87,75,90,
13,1,0.8643321430059827,1.1234312248995963,-0.25909908189361364,112,68,72,
14,1,0.8842713915642549,1.038519828239455,-0.15424843667520005,98,78,76,
15,1,0.8025220943426739,1.0720232588872738,-0.26950116454459994,88,82,82,
16,1,0.792557445523713,1.0422914263744734,-0.24973398085076037,104,64,84,
17,1,0.7428652771534294,1.1399802844669735,-0.3971150073135441,86,87,79,
18,1,0.8101215926974044,0.9674507124731606,-0.15732911977575625,96,78,78,
19,1,0.8029629783276431,1.0635471204188458,-0.26058414209120273,85,89,78,
20,1,0.8421264044897396,0.9212308676870572,-0.07910446319731756,94,85,73,
21,1,0.7487188688914697,0.9683467870081996,-0.21962791811673,103,85,64,
22,1,0.9154832404882338,0.7388930255646553,0.17659021492357851,109,73,70,
23,1,0.7383261449212426,0.9715374684944987,-0.23321132357325614,96,82,74,
24,1,0.8205287497727991,1.1189261744966468,-0.29839742472384767,98,80,74,
25,1,0.7700606586449327,1.0588929540894627,-0.28883229544453004,94,73,85,
26,1,0.8072764543439659,0.8888126623217526,-0.08153620797778671,92,86,74,
27,1,0.7572790310190053,0.9649882233114762,-0.20770919229247087,99,87,66,
28,1,0.7702755276535472,1.074164824000477,-0.30388929634692985,104,68,80,
29,1,0.7146560390618535,1.1027438016528954,-0.38808776259104194,83,87,82,
30,1,0.8796872680045266,1.0110415712613843,-0.1313543032568577,108,66,78,
31,1,0.7668805397640779,1.071525577184246,-0.30464503742016813,104,65,83,
32,1,0.8527393414097438,0.8462844792095511,0.006454862200192757,99,77,76,
33,1,0.9457970910431829,0.8598252974757543,0.08597179356742857,111,67,74,
34,1,0.7583519296931865,1.0886452623335932,-0.3302933326404066,115,62,75,
35,1,0.7300440460996077,0.8323238763149516,-0.10227983021534393,107,67,78,
36,1,0.8061016534915888,1.1332457474761444,-0.3271440939845556,100,65,87,
