Episode,NumStateVars,TradeCost,TimeCost,EpsilonSteps,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,Strategy Wins (%)
1,3,0.001,0.0001,250,0.8599287473377866,0.9645778242420513,-0.10464907690426473,81,80,91,
2,3,0.001,0.0001,250,0.8419415573618092,0.9669614655717004,-0.12501990820989117,88,75,89,
3,3,0.001,0.0001,250,0.8129380178444776,1.108454708988569,-0.2955166911440914,87,65,100,
4,3,0.001,0.0001,250,0.7742154536869504,0.9769287109375007,-0.20271325725055023,92,75,85,
5,3,0.001,0.0001,250,0.7998155318072193,0.9995309201782495,-0.1997153883710302,87,70,95,
6,3,0.001,0.0001,250,0.8357682300745705,0.9374046771733625,-0.10163644709879205,69,92,91,
7,3,0.001,0.0001,250,0.8403806417157392,0.9851192329244772,-0.144738591208738,82,98,72,
8,3,0.001,0.0001,250,0.8182463939906016,0.8667913817571927,-0.04854498776659111,91,81,80,
9,3,0.001,0.0001,250,0.8787856861975719,1.0846498792687134,-0.20586419307114145,87,95,70,
10,3,0.001,0.0001,250,0.8420630557531246,1.0804107731059878,-0.2383477173528632,78,84,90,
11,3,0.001,0.0001,250,0.8358771913505547,0.8475170399221033,-0.011639848571548539,87,88,77,
12,3,0.001,0.0001,250,0.7638368931176358,0.9587432319072665,-0.1949063387896307,87,75,90,
13,3,0.001,0.0001,250,0.8643321430059827,1.1234312248995963,-0.25909908189361364,112,68,72,
14,3,0.001,0.0001,250,0.8842713915642549,1.038519828239455,-0.15424843667520005,98,78,76,
15,3,0.001,0.0001,250,0.8114632921118798,1.0720232588872738,-0.26055996677539395,90,82,80,
16,3,0.001,0.0001,250,0.792557445523713,1.0422914263744734,-0.24973398085076037,104,64,84,
17,3,0.001,0.0001,250,0.7479409930037229,1.1399802844669735,-0.39203929146325067,76,84,92,
18,3,0.001,0.0001,250,0.8101215926974044,0.9674507124731606,-0.15732911977575625,96,78,78,
19,3,0.001,0.0001,250,0.818050344607744,1.0635471204188458,-0.24549677581110185,73,92,87,
20,3,0.001,0.0001,250,0.8264481398325462,0.9212308676870572,-0.09478272785451103,81,96,75,
21,3,0.001,0.0001,250,0.7263400306419331,0.9683467870081996,-0.24200675636626656,87,85,80,
22,3,0.001,0.0001,250,0.9180249969983681,0.7388930255646553,0.17913197143371284,88,92,72,
23,3,0.001,0.0001,250,0.7404632663376788,0.9715374684944987,-0.23107420215681995,73,89,90,
24,3,0.001,0.0001,250,0.8177479489234901,1.1189261744966468,-0.30117822557315665,80,89,83,
25,3,0.001,0.0001,250,0.7656214016716233,1.0588929540894627,-0.2932715524178394,73,90,89,
26,3,0.001,0.0001,250,0.8404949198131143,0.8888126623217526,-0.048317742508638295,69,91,92,
27,3,0.001,0.0001,250,0.7745798190878747,0.9649882233114762,-0.1904084042236015,68,91,93,
28,3,0.001,0.0001,250,0.7643476239813403,1.074164824000477,-0.3098172000191368,82,71,99,
29,3,0.001,0.0001,250,0.7050552059492415,1.1027438016528954,-0.3976885957036539,65,90,97,
30,3,0.001,0.0001,250,0.8409914679078178,1.0110415712613843,-0.17005010335356652,79,66,107,
31,3,0.001,0.0001,250,0.7648594653562341,1.071525577184246,-0.30666611182801196,88,72,92,
32,3,0.001,0.0001,250,0.8613808715898729,0.8462844792095511,0.015096392380321788,84,86,82,
33,3,0.001,0.0001,250,0.9416649508996485,0.8598252974757543,0.08183965342389421,90,80,82,
34,3,0.001,0.0001,250,0.738940107892749,1.0886452623335932,-0.34970515444084416,73,62,117,
35,3,0.001,0.0001,250,0.7133732830176013,0.8323238763149516,-0.11895059329735036,76,89,87,
36,3,0.001,0.0001,250,0.7896403892134651,1.1332457474761444,-0.34360535826267924,78,72,102,
37,3,0.001,0.0001,250,0.8306077570033114,1.116283998587072,-0.2856762415837607,79,80,93,
38,3,0.001,0.0001,250,0.7460671663502045,0.9961237364140755,-0.25005657006387094,96,86,70,
39,3,0.001,0.0001,250,0.7758338297816175,0.9450941243582421,-0.16926029457662461,86,103,63,
