Episode,NumStateVars,TradeCost,TimeCost,EpsilonSteps,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,Strategy Wins (%)
1,7,0.001,0.0001,250,0.7742063723481609,0.9476149914821121,-0.17340861913395123,81,80,91,
2,7,0.001,0.0001,250,0.8407885172709605,0.9689892802450234,-0.1282007629740629,88,75,89,
3,7,0.001,0.0001,250,0.7711649859834089,1.1237475526891618,-0.35258256670575294,87,65,100,
4,7,0.001,0.0001,250,0.8559970998225578,0.9650919106640329,-0.1090948108414751,91,75,86,
5,7,0.001,0.0001,250,0.7876608505212043,1.0010130133250217,-0.2133521628038174,87,70,95,
6,7,0.001,0.0001,250,0.7292473706222987,0.8918786991274651,-0.16263132850516637,69,92,91,
7,7,0.001,0.0001,250,0.6686527636255066,0.9452757330759031,-0.27662296945039644,82,98,72,
8,7,0.001,0.0001,250,0.9761096846021238,0.8230615016490986,0.15304818295302514,90,81,81,
9,7,0.001,0.0001,250,0.8283414600187031,1.0974506578947356,-0.2691091978760325,87,95,70,
10,7,0.001,0.0001,250,0.7917265154331922,1.1151811690029103,-0.32345465356971814,77,84,91,
11,7,0.001,0.0001,250,0.7179480573658037,0.7574875006067662,-0.03953944324096248,86,88,78,
12,7,0.001,0.0001,250,0.7715774861481289,0.954970530451864,-0.18339304430373504,86,75,91,
13,7,0.001,0.0001,250,0.7650246194732057,1.081584085916524,-0.31655946644331834,107,68,77,
14,7,0.001,0.0001,250,0.7667598555427945,1.057381832328342,-0.29062197678554746,97,78,77,
15,7,0.001,0.0001,250,0.9160334008450729,1.067933180478218,-0.15189977963314505,88,82,82,
16,7,0.001,0.0001,250,0.8085047012809776,1.041304858014551,-0.23280015673357335,104,64,84,
17,7,0.001,0.0001,250,0.7973828494394203,1.1232011232011245,-0.32581827376170425,80,91,81,
18,7,0.001,0.0001,250,0.8212094200558478,0.9959154858554777,-0.17470606579962988,88,84,80,
19,7,0.001,0.0001,250,0.7568115218874992,0.9948019017432654,-0.2379903798557662,72,100,80,
20,7,0.001,0.0001,250,0.8542269436270576,0.9610704286021982,-0.10684348497514051,81,90,81,
21,7,0.001,0.0001,250,0.8642080114162819,0.979275278367768,-0.11506726695148606,91,93,68,
22,7,0.001,0.0001,250,0.8770333941120702,0.7372937630893399,0.13973963102273024,93,80,79,
23,7,0.001,0.0001,250,0.9178612799104557,0.9677283146338536,-0.04986703472339782,72,93,87,
24,7,0.001,0.0001,250,0.8059351155017739,1.082305332550095,-0.2763702170483212,85,88,79,
25,7,0.001,0.0001,250,0.8276431045234626,1.088508040849866,-0.2608649363264034,82,77,93,
26,7,0.001,0.0001,250,0.7659904725838454,0.8290288256916225,-0.06303835310777706,78,90,84,
27,7,0.001,0.0001,250,0.8162502472602433,0.9780296315056363,-0.16177938424539295,81,100,71,
28,7,0.001,0.0001,250,0.8140409349114062,1.0906987780282364,-0.2766578431168303,85,78,89,
29,7,0.001,0.0001,250,0.7507279611135161,1.0952853926632231,-0.34455743154970697,68,90,94,
30,7,0.001,0.0001,250,0.769469131744602,0.992927722325324,-0.22345859058072204,93,71,88,
31,7,0.001,0.0001,250,0.694467442707931,1.103876705818452,-0.40940926311052095,84,71,97,
32,7,0.001,0.0001,250,0.6706460703364786,0.9387871202639658,-0.2681410499274872,81,85,86,
33,7,0.001,0.0001,250,0.8186084847825192,0.8768885259289496,-0.05828004114643037,89,73,90,
34,7,0.001,0.0001,250,0.7724251398456627,1.0354392942736228,-0.26301415442796006,102,66,84,
35,7,0.001,0.0001,250,0.8411228946114157,0.8528996664100598,-0.011776771798644114,82,79,91,
36,7,0.001,0.0001,250,0.7811936384693753,1.1011243519827647,-0.3199307135133894,81,76,95,
37,7,0.001,0.0001,250,0.8269833226731117,1.0901365282808584,-0.2631532056077467,92,75,85,
38,7,0.001,0.0001,250,0.8092248707882488,0.9871143788372607,-0.17788950804901194,98,69,85,
39,7,0.001,0.0001,250,0.7270055517220981,0.9503808487486388,-0.2233752970265407,78,83,91,
40,7,0.001,0.0001,250,0.815021755168608,1.0770708795900943,-0.2620491244214863,101,75,76,
41,7,0.001,0.0001,250,0.7325475393665651,1.055602946878635,-0.32305540751206985,66,84,102,
42,7,0.001,0.0001,250,0.8875191504075659,1.0501852694532916,-0.1626661190457257,58,106,88,
43,7,0.001,0.0001,250,0.8302877593656193,0.9033739621974917,-0.0730862028318724,81,82,89,
44,7,0.001,0.0001,250,0.808771663342549,0.9779604034366816,-0.16918874009413254,70,102,80,
45,7,0.001,0.0001,250,0.8857226231190269,0.9143796305958468,-0.028657007476819873,85,85,82,
46,7,0.001,0.0001,250,0.85855631773717,1.0129975629569459,-0.15444124521977587,64,97,91,
47,7,0.001,0.0001,250,0.8087999090708617,1.0753321092990602,-0.26653220022819846,88,84,80,
48,7,0.001,0.0001,250,0.8361265424223956,0.9674385875127948,-0.13131204509039918,90,80,82,
49,7,0.001,0.0001,250,0.77617147055821,0.9920757634325479,-0.21590429287433788,83,68,101,
50,7,0.001,0.0001,250,0.8333981301542434,0.9348444913020568,-0.10144636114781347,73,69,110,
51,7,0.001,0.0001,250,0.8542709672340266,1.128172734581371,-0.2739017673473444,82,81,89,
52,7,0.001,0.0001,250,0.8587188212959863,1.0964514407684085,-0.2377326194724222,83,76,93,
53,7,0.001,0.0001,250,0.7914529256452267,0.8180796190980033,-0.026626693452776573,86,73,93,
54,7,0.001,0.0001,250,0.8528558013987105,1.0784758448627814,-0.22562004346407083,79,88,85,
55,7,0.001,0.0001,250,0.9039527239289362,1.053625336187497,-0.14967261225856077,79,89,84,
56,7,0.001,0.0001,250,0.8503240056900955,0.9882017631073136,-0.13787775741721808,80,85,87,
57,7,0.001,0.0001,250,0.8789664140128757,1.0135760760760761,-0.13460966206320046,88,81,83,
58,7,0.001,0.0001,250,0.7626993764940945,0.9568425621628324,-0.1941431856687379,73,79,100,
59,7,0.001,0.0001,250,0.8165676632969178,0.9028274089398801,-0.08625974564296235,80,94,78,
60,7,0.001,0.0001,250,0.9738470879738983,0.726290338497977,0.24755674947592132,88,88,76,
61,7,0.001,0.0001,250,0.7159100189210091,1.0021473406012562,-0.28623732168024707,94,83,75,
62,7,0.001,0.0001,250,0.8923859866496856,0.9352807182098354,-0.04289473156014978,83,79,90,
63,7,0.001,0.0001,250,0.8719208627128825,1.0013773242346464,-0.12945646152176393,77,75,100,
64,7,0.001,0.0001,250,0.7832412311737003,1.1308572414189615,-0.34761601024526123,83,80,89,
65,7,0.001,0.0001,250,0.8034154207153986,1.0430163592517772,-0.23960093853637854,82,84,86,
66,7,0.001,0.0001,250,0.7773577852171948,0.9292578902473688,-0.15190010503017404,85,79,88,
67,7,0.001,0.0001,250,0.9314893393097339,0.8871838590508672,0.044305480258866714,79,76,97,
68,7,0.001,0.0001,250,0.9487068018897941,1.0817618270799338,-0.1330550251901398,88,90,74,
69,7,0.001,0.0001,250,0.8645582716605792,1.128151986183075,-0.2635937145224959,88,90,74,
70,7,0.001,0.0001,250,0.7735016904404192,1.0950886142175134,-0.3215869237770942,85,83,84,
71,7,0.001,0.0001,250,0.8959692513620107,0.7458399271088086,0.15012932425320202,90,78,84,
72,7,0.001,0.0001,250,0.6896768594783007,0.9806846646256617,-0.291007805147361,86,76,90,
73,7,0.001,0.0001,250,0.8260331933626337,0.9839090640684961,-0.1578758707058624,85,78,89,
74,7,0.001,0.0001,250,0.9426191948829632,1.040038400722838,-0.09741920583987485,84,77,91,
75,7,0.001,0.0001,250,0.8553414353948399,0.9336932783305033,-0.07835184293566344,79,94,79,
76,7,0.001,0.0001,250,0.82773044851743,0.9021866917470031,-0.074456243229573,81,88,83,
77,7,0.001,0.0001,250,0.8417127907854565,1.125770582473929,-0.28405779168847256,81,89,82,
78,7,0.001,0.0001,250,0.9919184621232509,1.0692187311905625,-0.07730026906731169,79,93,80,
79,7,0.001,0.0001,250,0.8052678552659477,1.0258110956861533,-0.22054324042020557,87,78,87,
80,7,0.001,0.0001,250,1.074026421099506,1.108585503166783,-0.03455908206727698,81,83,88,
81,7,0.001,0.0001,250,0.807307572629601,1.0837625372729716,-0.2764549646433706,94,80,78,
82,7,0.001,0.0001,250,0.892110716352122,1.0196117939418383,-0.1275010775897163,70,89,93,
83,7,0.001,0.0001,250,0.7119466943701936,1.0568034678826779,-0.3448567735124842,83,87,82,
84,7,0.001,0.0001,250,0.8600494141960965,0.9862746332556811,-0.12622521905958461,79,80,93,
85,7,0.001,0.0001,250,0.7924017984302366,0.9258005109012071,-0.13339871247097046,64,99,89,
86,7,0.001,0.0001,250,0.8514623445464644,1.0549199084668197,-0.2034575639203553,93,74,85,
87,7,0.001,0.0001,250,0.7017847802518586,1.115222249813757,-0.4134374695618983,80,83,89,
