Episode,NumStateVars,TradeCost,TimeCost,EpsilonSteps,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,AStd,MStd,Strategy Wins (%)
1,3,0,0,250,0.9304516138380076,1.156252780272047,-0.22580116643403947,81,80,91,0.005808464645581585,0.006818162637264193,
2,3,0,0,250,1.0771374115060663,1.3128659831711211,-0.2357285716650548,88,75,89,0.010363625572729362,0.012333744599156102,
3,3,0,0,250,1.409487087203384,0.9374643140427007,0.4720227731606833,87,65,100,0.011042521948830425,0.01437237523102515,
4,3,0,0,250,0.7239866541412795,1.127153119735226,-0.40316646559394653,92,75,85,0.008994668516923113,0.011682072512449484,
5,3,0,0,250,0.8148375408254643,1.1400022658084874,-0.32516472498302307,88,70,94,0.008537445718856713,0.011329522554332455,
6,3,0,0,250,0.9665750930504746,1.1878146928492672,-0.2212395997987926,68,94,90,0.006476417945988142,0.007280231280172576,
7,3,0,0,250,1.1023458456508137,0.8279377642589372,0.27440808139187656,82,95,75,0.00974113709260834,0.012467389445506093,
8,3,0,0,250,0.8849506143162018,1.0371000096169452,-0.15214939530074334,91,80,81,0.008273399459396976,0.010316714955871144,
9,3,0,0,250,0.9932057331061186,1.1586866412969994,-0.1654809081908808,86,95,71,0.005282026178810168,0.006577398467126895,
10,3,0,0,250,0.8188031670867384,1.14458614241999,-0.3257829753332515,79,83,90,0.005122679670750319,0.006276321702795743,
11,3,0,0,250,0.8687624145338585,1.208135998958648,-0.3393735844247895,87,88,77,0.00604575591935456,0.007163153549656614,
12,3,0,0,250,1.0002730822017945,1.0366321063566495,-0.036359024154855035,88,75,89,0.005472007897820488,0.006819383678527029,
13,3,0,0,250,0.9346637653818582,0.97369433921579,-0.039030573833931714,112,68,72,0.009820002113708981,0.012373604781159016,
14,3,0,0,250,1.1953249069791139,1.1364233779563804,0.05890152902273349,97,79,76,0.005043249301753042,0.007289149374921286,
15,3,0,0,250,1.4882061351970752,1.1123081094946998,0.3758980257023754,90,82,80,0.011244677157712437,0.014081154838352108,
16,3,0,0,250,0.9954193353193381,1.0166254553380616,-0.021206120018723462,103,65,84,0.010009285692238343,0.013672909205931469,
17,3,0,0,250,0.6515623340625462,0.9683011108342011,-0.31673877677165496,78,84,90,0.00945839651183937,0.011040986662459356,
18,3,0,0,250,1.3262898094199853,1.1755284450243983,0.15076136439558696,85,83,84,0.009304089434640674,0.011625653400396466,
19,3,0,0,250,0.9784392732653653,1.01837154505167,-0.03993227178630465,74,97,81,0.008519253240701807,0.0104652809741063,
20,3,0,0,250,1.30156317040912,1.120959605685483,0.18060356472363703,79,97,76,0.00932053884766557,0.011273789544992228,
21,3,0,0,250,0.8406200432563942,1.125493160553619,-0.28487311729722475,91,95,66,0.006162628625554976,0.007410587903513014,
22,3,0,0,250,0.9862789113775997,1.086857499778519,-0.10057858840091927,88,88,76,0.005953341386152118,0.007586387061782279,
23,3,0,0,250,1.0660201019080564,1.2685836639909291,-0.20256356208287274,72,97,83,0.004916428913773787,0.00604910362467123,
24,3,0,0,250,1.0366619339164704,1.1643752534608496,-0.12771331954437914,84,87,81,0.005902596424983589,0.006805193925907764,
25,3,0,0,250,1.1411214096422495,0.7727825463230786,0.3683388633191709,77,88,87,0.014117602164225806,0.016867357438919848,
26,3,0,0,250,0.986254094437871,1.0579119016922314,-0.07165780725436033,75,102,75,0.007773070092648999,0.009644041531921943,
27,3,0,0,250,0.9196521236836935,0.8424583785018923,0.07719374518180122,73,104,75,0.012147346377947477,0.014638847933821695,
28,3,0,0,250,1.088693304685486,1.2797402692254496,-0.1910469645399635,82,89,81,0.0045150880529251005,0.005695065918672927,
29,3,0,0,250,0.9867937627595392,1.1178198410237827,-0.1310260782642435,74,94,84,0.005531933262892693,0.006721399153687682,
30,3,0,0,250,1.040246816741261,1.2036128067684129,-0.1633659900271518,85,83,84,0.011478136033467652,0.015118185145841845,
31,3,0,0,250,0.9020275103427704,0.948039040338313,-0.04601152999554259,82,75,95,0.012250083282335109,0.014486839389994328,
32,3,0,0,250,0.8733145174405537,1.1044911693169517,-0.23117665187639802,83,85,84,0.011035596626816354,0.013757841175303551,
33,3,0,0,250,0.8955113898303915,0.6702947692135165,0.22521662061687497,85,72,95,0.015059116474851761,0.02018371715759704,
34,3,0,0,250,1.606078289595158,1.3635380996077375,0.24254018998742044,72,104,76,0.011797652452471767,0.013861451023296056,
35,3,0,0,250,0.937184898182028,0.9428198145834249,-0.0056349164013969055,75,75,102,0.009201305319610229,0.010894686660549756,
36,3,0,0,250,1.2080690489790178,1.084254630663352,0.12381441831566575,78,87,87,0.007854048844796145,0.009616498154108338,
37,3,0,0,250,0.9334478075341958,1.2028717615608293,-0.26942395402663355,76,99,77,0.012397216631295303,0.01490974416219024,
38,3,0,0,250,1.0465301437858887,0.9412403771721232,0.10528976661376555,87,81,84,0.008410890228860837,0.010406444067447954,
39,3,0,0,250,1.1835004466029138,1.0622239403462852,0.12127650625662856,77,115,60,0.005696186220235091,0.006491608661261657,
40,3,0,0,250,0.9684586437722639,1.2554266539148498,-0.2869680101425859,90,97,65,0.0057112218484466955,0.006760356027412197,
41,3,0,0,250,1.5236562650935088,1.2250292012685333,0.2986270638249755,57,113,82,0.02144481603915838,0.023692186120573642,
42,3,0,0,250,0.9597377311492042,1.0231986596996634,-0.06346092855045915,56,112,84,0.00508321646303091,0.005735445852620491,
43,3,0,0,250,1.0654217879387002,1.1723189131335197,-0.10689712519481942,87,78,87,0.005586027438718676,0.006659502517569847,
44,3,0,0,250,1.457851621526157,1.1890166025502436,0.26883501897591344,59,132,61,0.01217477840792749,0.013588284148010823,
45,3,0,0,250,1.0336894579265137,1.1990041136718017,-0.16531465574528803,71,123,58,0.006795179249998848,0.008028938654445239,
