Episode,NumStateVars,TradeCost,TimeCost,EpsilonSteps,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,AStd,MStd,Strategy Wins (%)
1,7,0,0,250,1.0456031423235912,1.1670154793615382,-0.12141233703794696,81,80,91,0.005796578141729937,0.006714534957072863,
2,7,0,0,250,0.8898300495939954,1.3361151448459465,-0.44628509525195115,88,75,89,0.009820763972839045,0.01264834344750765,
3,7,0,0,250,0.7817216170980861,0.7509518259116517,0.030769791186434414,87,65,100,0.01149011526090338,0.014856131848107025,
4,7,0,0,250,0.7434317506810796,1.0738575810031772,-0.3304258303220976,91,75,86,0.009501450932381278,0.011825545197526328,
5,7,0,0,250,0.8167496979309087,1.1427495272345143,-0.3259998293036056,87,70,95,0.008779921488285792,0.011362164638552458,
6,7,0,0,250,0.9188874483134533,1.2136133172386476,-0.29472586892519437,68,94,90,0.00653852760809251,0.007479022358713978,
7,7,0,0,250,0.8779795953088951,0.8911879025493352,-0.013208307240440087,81,95,76,0.01008649212955188,0.01257385627140347,
8,7,0,0,250,1.03917552621405,1.0469676461042288,-0.007792119890178695,90,80,82,0.007553457064105493,0.010085510658047919,
9,7,0,0,250,0.9948643884919021,1.1335367926687148,-0.1386724041768127,85,95,72,0.00474930187355543,0.006373306279119533,
10,7,0,0,250,0.9917714508514814,1.1294515181555926,-0.1376800673041112,79,83,90,0.004692727418098029,0.00631637979566587,
11,7,0,0,250,0.9577095156529961,1.2087834455326698,-0.2510739298796737,86,88,78,0.005733976190440213,0.007080532724329061,
12,7,0,0,250,1.0252639066575588,1.0805593844180783,-0.05529547776051946,87,75,90,0.00542528591254019,0.006882032762985665,
13,7,0,0,250,0.9800598852373299,0.8571287103236037,0.12293117491372618,109,69,74,0.009420130846456903,0.012061413319068372,
14,7,0,0,250,0.9458804114309078,1.1745156258953184,-0.2286352144644106,96,79,77,0.0060041579634905334,0.007219972226502997,
15,7,0,0,250,0.8627987362563996,1.2277821194331524,-0.36498338317675283,89,82,81,0.010225703759110206,0.013555359607975076,
16,7,0,0,250,1.1218092126765462,1.1439874962411107,-0.022178283564564527,101,65,86,0.010896881869671736,0.013900541218707428,
17,7,0,0,250,1.08991042754919,1.036680043435627,0.05323038411356307,85,88,79,0.00828456907214822,0.010274873716113207,
18,7,0,0,250,0.8942505613894636,1.0472333228430375,-0.15298276145357392,84,86,82,0.009704582669948626,0.012230221332310968,
19,7,0,0,250,0.9833606175394717,0.991050059755122,-0.007689442215650266,67,99,86,0.008947541973635415,0.010445658845544149,
20,7,0,0,250,0.867709392446418,1.1411656650028885,-0.27345627255647054,75,95,82,0.009702872711650714,0.01130401460320427,
21,7,0,0,250,1.0433727827233854,1.1354307343036592,-0.09205795158027374,85,93,74,0.006134015190151308,0.007209556744276189,
22,7,0,0,250,1.206307670071427,1.0074264227381777,0.1988812473332493,96,76,80,0.0073240785748874574,0.009373812392908831,
23,7,0,0,250,1.2274765100039977,1.233239950566194,-0.005763440562196243,71,89,92,0.005225820858940787,0.006110700103189191,
24,7,0,0,250,1.109169416158357,1.184191835978832,-0.07502241982047497,82,83,87,0.005860812165252456,0.006703635838675353,
25,7,0,0,250,0.9087721836459811,0.7638271951560557,0.14494498848992543,79,82,91,0.01333648215554718,0.016764427839591724,
