Episode,NumStateVars,TradeCost,TimeCost,EpsilonSteps,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,AStd,MStd,Strategy Wins (%)
1,2,0,0,250,0.9304516138380076,1.156252780272047,-0.22580116643403947,81,80,91,0.005808464645581585,0.006818162637264193,
2,2,0,0,250,1.0771374115060663,1.3128659831711211,-0.2357285716650548,88,75,89,0.010363625572729362,0.012333744599156102,
3,2,0,0,250,1.409487087203384,0.9374643140427007,0.4720227731606833,87,65,100,0.011042521948830425,0.01437237523102515,
4,2,0,0,250,0.7239866541412795,1.127153119735226,-0.40316646559394653,92,75,85,0.008994668516923113,0.011682072512449484,
5,2,0,0,250,0.8148375408254643,1.1400022658084874,-0.32516472498302307,88,70,94,0.008537445718856713,0.011329522554332455,
6,2,0,0,250,0.9665750930504746,1.1878146928492672,-0.2212395997987926,68,94,90,0.006476417945988142,0.007280231280172576,
7,2,0,0,250,1.1023458456508137,0.8279377642589372,0.27440808139187656,82,95,75,0.00974113709260834,0.012467389445506093,
8,2,0,0,250,0.8849506143162018,1.0371000096169452,-0.15214939530074334,91,80,81,0.008273399459396976,0.010316714955871144,
9,2,0,0,250,0.9932057331061186,1.1586866412969994,-0.1654809081908808,86,95,71,0.005282026178810168,0.006577398467126895,
10,2,0,0,250,0.8188031670867384,1.14458614241999,-0.3257829753332515,79,83,90,0.005122679670750319,0.006276321702795743,
11,2,0,0,250,0.8687624145338585,1.208135998958648,-0.3393735844247895,87,88,77,0.00604575591935456,0.007163153549656614,
12,2,0,0,250,1.0002730822017945,1.0366321063566495,-0.036359024154855035,88,75,89,0.005472007897820488,0.006819383678527029,
13,2,0,0,250,0.9346637653818582,0.97369433921579,-0.039030573833931714,112,68,72,0.009820002113708981,0.012373604781159016,
14,2,0,0,250,1.1953249069791139,1.1364233779563804,0.05890152902273349,97,79,76,0.005043249301753042,0.007289149374921286,
15,2,0,0,250,1.4882061351970752,1.1123081094946998,0.3758980257023754,90,82,80,0.011244677157712437,0.014081154838352108,
16,2,0,0,250,0.9954193353193381,1.0166254553380616,-0.021206120018723462,103,65,84,0.010009285692238343,0.013672909205931469,
17,2,0,0,250,0.6663203271198825,0.9683011108342011,-0.3019807837143186,82,91,79,0.009434124368285548,0.011040986662459356,
18,2,0,0,250,1.3530131295899996,1.1755284450243983,0.1774846845656013,83,79,90,0.009314750973982083,0.011625653400396466,
19,2,0,0,250,0.9554790531081193,1.01837154505167,-0.06289249194355062,72,94,86,0.008476469807103227,0.0104652809741063,
20,2,0,0,250,1.3017328346279216,1.120959605685483,0.18077322894243864,86,88,78,0.009180745555501937,0.011273789544992228,
21,2,0,0,250,0.83717892731362,1.125493160553619,-0.28831423323999894,97,90,65,0.006111564414135964,0.007410587903513014,
22,2,0,0,250,0.9369333799799483,1.086857499778519,-0.14992411979857068,107,76,69,0.005614881167639051,0.007586387061782279,
23,2,0,0,250,1.0369429021012986,1.2685836639909291,-0.23164076188963056,83,93,76,0.004953237430141837,0.00604910362467123,
24,2,0,0,250,1.0267190668322093,1.1643752534608496,-0.13765618662864032,81,89,82,0.005861106136391046,0.006805193925907764,
25,2,0,0,250,1.0775649737507593,0.7727825463230786,0.3047824274276807,76,83,93,0.014246851211772363,0.016867357438919848,
26,2,0,0,250,1.0015992585074303,1.0579119016922314,-0.056312643184801114,71,95,86,0.007791023682621535,0.009644041531921943,
27,2,0,0,250,0.9637347608605145,0.8424583785018923,0.12127638235862215,72,102,78,0.012070282331976231,0.014638847933821695,
28,2,0,0,250,1.0681823612033015,1.2797402692254496,-0.21155790802214813,79,78,95,0.004528003645413204,0.005695065918672927,
29,2,0,0,250,1.0005520364724252,1.1178198410237827,-0.11726780455135755,68,93,91,0.005650013671861102,0.006721399153687682,
30,2,0,0,250,1.0289336143613013,1.2036128067684129,-0.1746791924071116,84,80,88,0.011274884925784243,0.015118185145841845,
31,2,0,0,250,0.9606159745821236,0.948039040338313,0.012576934243810567,78,74,100,0.012278236677921541,0.014486839389994328,
32,2,0,0,250,0.7537453942468881,1.1044911693169517,-0.35074577507006355,78,92,82,0.011064273719030862,0.013757841175303551,
33,2,0,0,250,0.7727684627987935,0.6702947692135165,0.10247369358527703,81,82,89,0.015018494872248196,0.02018371715759704,
34,2,0,0,250,1.5955403545281697,1.3635380996077375,0.23200225492043214,75,83,94,0.011798689680754934,0.013861451023296056,
35,2,0,0,250,1.0933818138940248,0.9428198145834249,0.15056199931059988,75,93,84,0.00934837143425544,0.010894686660549756,
36,2,0,0,250,1.0733378875411215,1.084254630663352,-0.010916743122230566,72,79,101,0.00790310814619528,0.009616498154108338,
37,2,0,0,250,0.7118960759148579,1.2028717615608293,-0.4909756856459714,75,93,84,0.012335775411265949,0.01490974416219024,
38,2,0,0,250,0.884935846898653,0.9412403771721232,-0.056304530273470155,95,81,76,0.008005616744851623,0.010406444067447954,
39,2,0,0,250,1.0873930266872425,1.0622239403462852,0.02516908634095727,74,100,78,0.005751239809457853,0.006491608661261657,
40,2,0,0,250,0.9092859779373393,1.2554266539148498,-0.3461406759775104,95,87,70,0.00562646097099052,0.006760356027412197,
41,2,0,0,250,1.3337266661319471,1.2250292012685333,0.1086974648634138,57,105,90,0.021485104022693564,0.023692186120573642,
42,2,0,0,250,0.9621322641106962,1.0231986596996634,-0.061066395588967204,52,112,88,0.005097870245446213,0.005735445852620491,
43,2,0,0,250,1.0481243722941764,1.1723189131335197,-0.12419454083934323,72,101,79,0.005812252780025398,0.006659502517569847,
44,2,0,0,250,1.4840409455219066,1.1890166025502436,0.295024342971663,59,122,71,0.012165090143418739,0.013588284148010823,
45,2,0,0,250,0.9174301298721146,1.1990041136718017,-0.2815739837996871,74,114,64,0.006700466998695699,0.008028938654445239,
46,2,0,0,250,0.7531887914453269,1.0174104903583518,-0.26422169891302494,57,118,77,0.012732372013899115,0.014416748975570728,
47,2,0,0,250,1.0090498730358681,0.9087504479423794,0.10029942509348877,78,99,75,0.010555948118149142,0.01240446710558068,
48,2,0,0,250,1.1374870000188366,1.1554916103959378,-0.018004610377101216,69,98,85,0.006477194373237943,0.008029214153825402,
49,2,0,0,250,1.0350632389864851,1.0977648316708444,-0.06270159268435926,63,104,85,0.0062748209446004686,0.007052336494113225,
50,2,0,0,250,1.0336061686078375,1.2339452512717204,-0.2003390826638829,51,108,93,0.007055547753064354,0.008417995185021896,
51,2,0,0,250,0.9798681139052446,1.2915172030923165,-0.3116490891870719,58,118,76,0.011724587152691472,0.01279554805027678,
52,2,0,0,250,1.3710147059061326,0.9200003758216732,0.45101433008445946,59,121,72,0.013360961393079502,0.01498172312339927,
53,2,0,0,250,0.7208558272912382,0.9237609435068592,-0.20290511621562102,64,114,74,0.009676150200590178,0.011817387389102084,
54,2,0,0,250,1.4199123756718275,1.304009673960592,0.11590270171123551,63,132,57,0.007147072514619002,0.008030314057425322,
55,2,0,0,250,1.1260976641825495,1.3738934146970685,-0.24779575051451896,70,114,68,0.004704190956898006,0.005370105485361147,
56,2,0,0,250,1.08890032919858,1.2316041531727808,-0.1427038239742009,62,129,61,0.005909049280397055,0.006617137100688019,
57,2,0,0,250,1.0661791802631853,1.0720396023900707,-0.005860422126885423,70,122,60,0.006062480462330054,0.00694164756399453,
58,2,0,0,250,1.1355283864085592,1.097250010380232,0.03827837602832718,65,113,74,0.006308958605113819,0.0072883160469088635,
59,2,0,0,250,0.8852061727541314,0.8371002706974116,0.04810590205671983,68,123,61,0.011893655475937773,0.014074787865991919,
60,2,0,0,250,1.2022105081032068,1.1585827143920548,0.043627793711151996,62,139,51,0.006917569317663366,0.008049446285536837,
61,2,0,0,250,1.0033791927532518,1.1341895694346062,-0.13081037668135442,72,119,61,0.006269555869807503,0.00740505430447674,
62,2,0,0,250,1.0252999778838694,1.0501390094778218,-0.0248390315939524,70,122,60,0.005591990505005954,0.006479476319927707,
63,2,0,0,250,1.064521494441889,1.0912914776133955,-0.026769983171506473,60,122,70,0.005769428522539669,0.006566864886836339,
64,2,0,0,250,0.7282917216329782,0.6336446386752995,0.09464708295767865,70,121,61,0.023051893483615256,0.026425298042007443,
65,2,0,0,250,1.1269783381923864,0.8956849892097064,0.23129334898267995,74,120,58,0.013070800340607862,0.015282604510409368,
66,2,0,0,250,1.2005878141578625,0.9226081702149577,0.27797964394290486,69,114,69,0.00989280857935116,0.011446989755984117,
67,2,0,0,250,0.9065064387244635,1.1610802667860038,-0.2545738280615404,60,124,68,0.006889314861477354,0.007894228845210571,
68,2,0,0,250,1.033058264436705,1.2151925724340724,-0.1821343079973674,67,130,55,0.013377482867551343,0.015039095162047435,
