Episode,NumStateVars,TradeCost,TimeCost,EpsilonSteps,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,AStd,MStd,Strategy Wins (%)
1,19,0,0,250,0.7545789262439736,1.0275911498739783,-0.27301222363000466,82,79,91,0.010761961429141778,0.014536363897802872,
2,19,0,0,250,0.917377345367241,1.3235916226223254,-0.4062142772550844,88,75,89,0.009343318268565501,0.010803720453368418,
3,19,0,0,250,0.8560596441601718,1.163701428686233,-0.3076417845260613,87,65,100,0.007721078889406236,0.009410548175131168,
4,19,0,0,250,0.9020462007286372,1.1125119508591628,-0.2104657501305256,89,76,87,0.010039250549216635,0.011489726880720818,
5,19,0,0,250,0.9198082740980758,1.2196263423984028,-0.2998180683003271,86,71,95,0.003878104778882853,0.004602271559011571,
6,19,0,0,250,0.9361015911446147,1.2041176628472121,-0.26801607170259745,68,94,90,0.006725315691181273,0.00795951898596026,
7,19,0,0,250,0.8275154516323595,1.0060839813935873,-0.17856852976122783,82,95,75,0.00869445808917474,0.011098341040262813,
8,19,0,0,250,0.81727789358272,0.9276746888122543,-0.11039679522953438,90,80,82,0.008131577782769326,0.0103726241685409,
9,19,0,0,250,1.0271677113748134,1.073305058107303,-0.04613734673248948,87,95,70,0.0076938600943614105,0.01007532623854007,
10,19,0,0,250,0.941744488248593,1.1303890809385326,-0.1886445926899396,78,85,89,0.009721265497792148,0.011256002254240218,
11,19,0,0,250,0.7827473236929146,0.9468874847190304,-0.16414016102611584,86,88,78,0.00826304775977665,0.010982562762973882,
12,19,0,0,250,1.105135152905771,1.1513867329314103,-0.04625158002563934,82,79,91,0.009284382887799343,0.011709904042155241,
13,19,0,0,250,1.109746892742149,1.1713689217000447,-0.0616220289578957,107,70,75,0.00465354267080985,0.006150972632341518,
14,19,0,0,250,1.1511139155928496,1.0034719590069048,0.1476419565859448,94,79,79,0.008198854342998886,0.009674448279213144,
15,19,0,0,250,1.10371558143872,1.167629821641534,-0.06391424020281389,90,81,81,0.006569672869901358,0.007881040625147745,
16,19,0,0,250,1.0928636388872726,1.3143715617103158,-0.2215079228230432,103,64,85,0.005289018183839062,0.007087770489595214,
17,19,0,0,250,0.5989737325446581,0.5761402399893507,0.022833492555307422,81,91,80,0.020650717493418836,0.024407672512644026,
18,19,0,0,250,0.9864451080934695,1.1903887782845224,-0.20394367019105286,83,81,88,0.006630564971471956,0.007896765859839321,
19,19,0,0,250,0.8860048723512752,1.0954381828737905,-0.20943331052251524,72,96,84,0.008092246609270966,0.009618989721274987,
20,19,0,0,250,1.1235936670806805,1.277340006434133,-0.1537463393534524,75,94,83,0.0055515887910297995,0.0068049819509599565,
21,19,0,0,250,1.0357979659856855,1.18582995682861,-0.1500319908429244,82,98,72,0.004653014459982265,0.00617417991975988,
22,19,0,0,250,0.9063141286957521,1.2114832267717617,-0.30516909807600956,90,85,77,0.005648130438920085,0.007171128234523904,
23,19,0,0,250,0.89450529916173,1.1391000204615245,-0.24459472129979443,74,90,88,0.006925003911878615,0.0077856794704875745,
24,19,0,0,250,1.085462709974148,1.165810119026426,-0.080347409052278,82,94,76,0.005126372216879712,0.006289036339588434,
25,19,0,0,250,1.2169524946142247,1.133605735600975,0.08334675901324973,83,84,85,0.008920529558159675,0.011112811478436478,
26,19,0,0,250,1.1532120925161098,0.978833681298003,0.17437841121810682,72,92,88,0.00857897482811693,0.010115796991702874,
27,19,0,0,250,0.8044430383365038,1.0514623236033311,-0.24701928526682737,68,99,85,0.008877529057709397,0.00998355635055709,
28,19,0,0,250,1.0999405516178415,0.9511366189650204,0.1488039326528211,88,77,87,0.009102536744809611,0.01204741972666654,
