Episode,ENumStateVars,TrainAgent,TrainMarket,TrainDifference,Buys,holds,shorts,Strategy Wins (%)
1,1,0.995513131109534,1.1728625360870515,-0.1773494049775175,81,81,90,
2,1,0.9564590255712848,1.1283972264286286,-0.1719382008573438,75,88,89,
3,1,1.1344140336808364,0.7110284221360138,0.42338561154482257,65,87,100,
4,1,1.1449329879166499,0.9245686772769829,0.220364310639667,75,90,87,
5,1,1.0906520660956234,1.0418118466898947,0.04884021940572869,69,89,94,
6,1,1.141774543812735,1.1428710178710162,-0.0010964740582812826,94,68,90,
7,1,0.8479502846437629,1.1421447411803505,-0.2941944565365876,95,82,75,
8,1,1.009597531958203,1.1865838509316755,-0.1769863189734726,80,91,81,
9,1,1.0168758469636465,1.018533045695235,-0.0016571987315885384,95,87,70,
10,1,1.0601288607987482,1.1897516752069364,-0.12962281440818813,84,79,89,
11,1,0.9819084448319784,1.1416999104453316,-0.15979146561335322,87,87,78,
12,1,0.9626810622471857,1.0949703458368638,-0.13228928358967806,75,87,90,
13,1,0.9786259566619012,1.282262030207235,-0.30363607354533373,70,111,71,
14,1,0.8007922324573795,1.2613323871196658,-0.46054015466228626,79,98,75,
15,1,0.9574794742116732,1.1325028312570793,-0.17502335704540606,81,91,80,
16,1,1.236349944468064,1.133113778816533,0.10323616565153082,64,105,83,
17,1,0.9910142850839644,1.1234073534765194,-0.13239306839255505,96,79,77,
18,1,1.1074154200040982,1.1451295506723511,-0.03771413066825291,87,83,82,
19,1,0.9312503235610027,0.9876069206842906,-0.05635659712328789,107,66,79,
20,1,1.055747803475284,1.0865177346658847,-0.030769931190600674,104,72,76,
21,1,1.0090770805035423,1.1191119464348642,-0.11003486593132195,103,82,67,
22,1,1.2558810626145687,1.1206094334458552,0.1352716291687135,94,87,71,
23,1,0.8675505108766783,1.2441442422921885,-0.3765937314155101,105,67,80,
24,1,1.078814057649468,1.2862274588691704,-0.20741340121970242,101,77,74,
25,1,1.0119763841192237,1.0394229395800603,-0.02744655546083652,91,77,84,
26,1,0.8417333242544612,1.1476172354010752,-0.30588391114661395,108,69,75,
27,1,0.968602679316642,1.0438399467598383,-0.07523726744319625,124,61,67,
28,1,1.1047306676652195,1.0340478080620945,0.07068285960312504,95,78,79,
29,1,0.9682329364233798,1.1234073534765194,-0.1551744170531396,107,62,83,
30,1,0.9418506242012643,1.078694982017471,-0.13684435781620663,90,83,79,
31,1,1.0247128085095292,1.1013739946380705,-0.07666118612854134,98,74,80,
32,1,0.7074904673365159,0.5953554310403022,0.11213503629621369,98,74,80,
33,1,0.9440019104288078,1.109170305676858,-0.16516839524805027,101,78,73,
34,1,0.8752055893849938,1.0485298529852978,-0.17332426360030395,106,70,76,
35,1,0.9788997069189347,1.126229012252306,-0.1473293053333713,97,76,79,
36,1,0.9203992056598446,1.197928939046318,-0.27752973338647335,93,72,87,
37,1,0.9375099526578617,1.220218143123175,-0.28270819046531315,108,75,69,
38,1,1.1376428017885336,1.1090677966101716,0.02857500517836198,95,87,70,
39,1,0.886701728409393,1.359976525821598,-0.4732747974122049,118,75,59,
40,1,0.9505524025815592,1.1842627568986517,-0.23371035431709253,103,90,59,
41,1,1.0756067373466527,1.1021990863699163,-0.026592349023263573,116,54,82,
42,1,0.9698116555219088,1.1545399393326585,-0.18472828381074968,119,54,79,
43,1,1.0403828684475884,1.2022185970636208,-0.16183572861603235,106,72,74,
44,1,1.0056782468054386,1.2613323871196658,-0.2556541403142272,130,61,61,
45,1,1.180386293164059,0.9395355324639086,0.24085076070015032,120,74,58,
46,1,0.9167286173751256,1.0937956559851951,-0.17706703861006956,127,59,66,
47,1,1.2632978936553945,1.0742457007517239,0.1890521929036706,114,76,62,
48,1,1.4515610484378767,0.5767513359197709,0.8748097125181058,116,68,68,
49,1,0.7915613500516208,0.8428581022093882,-0.05129675215776741,111,62,79,
50,1,0.9537096404213765,1.1966480446927374,-0.24293840427136093,116,51,85,
51,1,0.9316320523943679,1.1297458665033684,-0.19811381410900053,121,57,74,
52,1,0.9098727038375702,1.066862013851892,-0.15698931001432181,125,58,69,
53,1,1.158854551183372,1.1382228490832127,0.02063170210015941,114,64,74,
54,1,0.8265942289255973,1.1396914885286953,-0.313097259603098,134,59,59,
55,1,1.13454524157916,1.2603183546978447,-0.12577311311868478,116,71,65,
56,1,1.0384125807500078,1.056293261760136,-0.017880681010128185,133,60,59,
57,1,1.0642209282051072,1.5827367841409712,-0.518515855935864,122,70,60,
58,1,0.8395344533937721,1.0652573529411746,-0.22572289954740254,118,64,70,
59,1,1.0309645497597724,1.1895424836601296,-0.15857793390035724,120,70,62,
60,1,0.9116215250905534,1.1148410702035225,-0.20321954511296914,136,62,54,
61,1,0.9298522061751685,1.1235643564356412,-0.19371215026047273,120,71,61,
62,1,1.1684620844479916,1.004275026718915,0.1641870577290765,126,68,58,
63,1,0.8517627801385182,0.9723534384167879,-0.12059065827826965,122,61,69,
64,1,0.9085953157303138,1.1107100429498318,-0.20211472721951795,123,69,60,
65,1,0.8815525279512759,1.1238065177937338,-0.24225398984245783,120,75,57,
66,1,0.9150242980403487,1.2342375366568916,-0.31921323861654294,116,67,69,
67,1,1.3719894015433882,1.4979034221560936,-0.1259140206127054,124,61,67,
68,1,0.8937217911986324,0.9357692827232201,-0.042047491524587755,132,64,56,
69,1,1.2341898241734963,1.1467301862278054,0.0874596379456909,133,67,52,
70,1,0.7273306510118518,0.929366197183098,-0.2020355461712462,135,63,54,
71,1,1.0308041399666417,0.9178364987613546,0.11296764120528702,141,56,55,
72,1,1.0862395015324433,1.172029859558855,-0.08579035802641166,132,57,63,
73,1,1.072114378988798,1.0248760623229447,0.04723831666585321,128,67,57,
74,1,0.6857332926748656,0.622944830105955,0.06278846256891057,137,58,57,
75,1,0.9050645528018997,1.074638233054074,-0.16957368025217434,134,60,58,
76,1,0.7332377881774885,1.0576212384041026,-0.3243834502266141,137,61,54,
77,1,1.0326759120157312,1.0964782710098735,-0.06380235899414233,140,46,66,
78,1,1.291099322785078,1.066862013851892,0.22423730893318594,142,62,48,
79,1,0.9639337821263124,1.2274210084816861,-0.2634872263553737,127,63,62,
80,1,1.102146404882261,1.1778021620742916,-0.07565575719203066,139,54,59,
81,1,0.8258652102188935,1.254108304841733,-0.4282430946228395,139,57,56,
82,1,0.9309060102750795,1.099281953087604,-0.16837594281252444,135,54,63,
83,1,1.2378902669163905,1.0105644208037823,0.2273258461126082,139,55,58,
84,1,0.9267209708520971,1.4285014091410373,-0.5017804382889401,129,61,62,
85,1,1.0477790861014462,1.0976393941957865,-0.04986030809434028,146,51,55,
86,1,1.0932481263809257,1.1943950594179868,-0.10114693303706113,129,62,61,
87,1,1.0466715086778529,1.197821634704896,-0.15115012602704314,145,53,54,
88,1,0.990756315491934,1.1098323516085185,-0.11907603611658446,146,48,58,
89,1,1.048049269181518,1.139923529664478,-0.0918742604829601,149,50,53,
90,1,1.12832568375884,1.116453351296734,0.01187233246210595,147,50,55,
91,1,1.1845612304577722,1.1025463192311495,0.08201491122662263,125,66,61,
92,1,1.106807459571113,1.2011133200795234,-0.09430586050841039,143,55,54,
93,1,1.0333845071926242,1.1390591907256722,-0.10567468353304799,144,64,44,
94,1,0.9305111749879887,1.1787324946593885,-0.2482213196713997,149,41,62,
95,1,0.9795288990945956,0.9376490856082681,0.04187981348632752,170,45,37,
96,1,0.8989096689617471,0.6101242761402818,0.2887853928214653,143,48,61,
97,1,1.0194061695893324,1.120216503655873,-0.10081033406654072,146,48,58,
98,1,1.2930931415317408,1.2957039458323611,-0.0026108043006203285,168,44,40,
99,1,1.0340137356645556,0.9924992787768058,0.041514456887749795,145,57,50,
100,1,1.0046439094448918,1.0479213776308929,-0.04327746818600109,159,46,47,24.0
101,1,1.4381025555091913,1.4285014091410373,0.009601146368154012,149,51,52,25.0
102,1,0.817892625238027,1.0253957504444262,-0.20750312520639924,159,47,46,25.0
103,1,1.1966236721942451,1.1312670190613492,0.06535665313289596,157,49,46,25.0
104,1,1.0786072544441383,1.073796415602671,0.00481083884146738,167,42,43,25.0
105,1,0.9920470617041963,1.2362386881676524,-0.24419162646345605,142,55,55,24.0
