NumStateVars,TrainAgent,TrainMarket,TrainDifference,Strategy Wins (%)
1,0.9065014942332438,0.922870766767604,-0.01636927253436027,
1,0.7549034111643991,0.8309926120986034,-0.07608920093420435,
1,0.8051201961066483,0.9335235188748089,-0.12840332276816058,
1,0.8127057152632416,0.8822697596052589,-0.06956404434201724,
1,0.7250475580882241,0.8959483308925688,-0.17090077280434468,
1,0.8219668551920631,0.8370756185092253,-0.015108763317162155,
1,0.8573323693227298,0.8649093339731949,-0.00757696465046509,
1,0.7842920990280776,0.9602051282051273,-0.17591302917704965,
1,0.7924436630305779,0.8655760760946006,-0.07313241306402274,
1,0.9842231495854232,0.8940903465346526,0.09013280305077065,
1,0.7007511232020112,0.9105751752791489,-0.20982405207713772,
1,0.8376942819793008,0.8672000000000009,-0.02950571802070001,
1,0.8186035517071117,0.8978720215795011,-0.07926846987238934,
1,1.099010373904922,0.8722308982590087,0.22677947564591328,
1,0.7116624814323451,0.8728799870780163,-0.16121750564567117,
1,0.7602804166593938,0.9042976899442409,-0.14401727328484704,
1,0.4992623819806352,1.0903496186664638,-0.5910872366858286,
1,0.8174560966004699,0.8767747024236343,-0.059318605823164394,
1,0.8396401342572442,0.9623512697567018,-0.12271113549945767,
1,0.7515041214341294,0.9890201528839455,-0.23751603144981615,
1,0.9589806223013584,1.0903496186664638,-0.13136899636510546,
1,0.844918149955082,0.8361546581179875,0.008763491837094461,
1,0.8491446907130552,0.8205716507874783,0.028573039925576915,
1,1.0025045963943726,0.8607413135944326,0.14176328279994,
1,0.5035225470905925,1.0746937212863699,-0.5711711741957773,
1,0.7141297351537631,0.8826799190134375,-0.16855018385967435,
1,0.6831771171739731,0.7702399501402301,-0.08706283296625694,
1,0.7315434631381421,0.8682986967241991,-0.136755233586057,
1,0.6969296099020714,0.8804169132636277,-0.18348730336155628,
1,1.2528236774749864,0.8601630386096931,0.39266063886529323,
1,0.8521646976412706,0.9401381427475052,-0.08797344510623462,
1,0.8024080624734501,0.8931572629051626,-0.09074920043171253,
1,0.8800502617583698,0.8384237215964088,0.04162654016196099,
1,0.8315214609054722,0.8027112516945316,0.028810209210940574,
1,0.7633076837077345,0.8909520469563297,-0.12764436324859518,
1,0.8905023571715409,0.8367861760161439,0.053716181155397,
1,0.47872446514567923,1.0397468085858748,-0.5610223434401955,
1,0.9956755156714349,0.947756539604505,0.04791897606692985,
1,0.8158805777700928,0.9632321806633724,-0.14735160289327953,
1,0.8513249290157211,0.8553707648958843,-0.004045835880163162,
1,0.9354232234773627,0.9324210170636926,0.0030022064136701054,
1,1.1646870900834339,0.8649825300870722,0.2997045599963617,
1,0.8301040815882295,0.8800436205016365,-0.04993953891340708,
1,0.7697077919080515,0.9650399835964735,-0.19533219168842197,
1,0.8465331086573321,0.8149783652421305,0.03155474341520159,
1,0.9060236188363214,0.7783729911548524,0.12765062768146906,
1,0.8631968504258565,0.8075312322544015,0.05566561817145499,
1,0.6892090393283278,0.9315703766638344,-0.24236133733550658,
1,0.8384271991487601,0.947756539604505,-0.10932934045574494,
1,1.0707323612860307,0.83259714844842,0.23813521283761063,
