Episode,NumStateVars,TradeCost,TimeCost,EpsilonSteps,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,AStd,MStd,Strategy Wins (%)
1,1,0,0,250,0.9355365673161005,1.1973819099440095,-0.26184534262790904,82,79,91,0.0055570395236699405,0.006421346908960289,
2,1,0,0,250,0.9621327033244593,1.1283972264286286,-0.16626452310416928,88,75,89,0.005177353275500114,0.006363753931876253,
3,1,0,0,250,1.1662448249610469,0.7110284221360138,0.45521640282503306,87,65,100,0.025161293820695842,0.02871548367027756,
4,1,0,0,250,1.138222158394908,0.9245686772769829,0.21365348111792504,90,75,87,0.010171099721261595,0.011871676069951539,
5,1,0,0,250,1.0906520660956234,1.0418118466898947,0.04884021940572869,89,69,94,0.007194576461847611,0.009172179113316995,
6,1,0,0,250,1.1410953204077303,1.1428710178710162,-0.0017756974632858746,68,94,90,0.005526612047127416,0.006237775266518891,
7,1,0,0,250,0.8528458948463034,1.1421447411803505,-0.2892988463340471,82,95,75,0.006097191981210414,0.007818109968537684,
8,1,0,0,250,1.009597531958203,1.1865838509316755,-0.1769863189734726,91,80,81,0.008432815958182316,0.010300026476053546,
9,1,0,0,250,1.0128934312863602,1.018533045695235,-0.005639614408874838,87,95,70,0.007486903622550703,0.009420864632441708,
10,1,0,0,250,1.045909954231419,1.1897516752069364,-0.1438417209755174,79,84,89,0.005911442328285644,0.006444466251741271,
11,1,0,0,250,0.9858966427495953,1.1416999104453316,-0.15580326769573627,87,87,78,0.006685254907910209,0.007862279041547583,
12,1,0,0,250,0.9626810622471857,1.0949703458368638,-0.13228928358967806,87,75,90,0.005531099769110247,0.006857211486838537,
13,1,0,0,250,0.9838824336426978,1.282262030207235,-0.29837959656453716,111,70,71,0.005671278433912893,0.007113307747641447,
14,1,0,0,250,0.8007359139938831,1.2613323871196658,-0.46059647312578267,98,79,75,0.009401156465306896,0.012239357173445256,
15,1,0,0,250,0.9593488388994198,1.1325028312570793,-0.1731539923576595,91,81,80,0.005620364218884889,0.0073376968411195224,
16,1,0,0,250,1.2032197152551662,1.133113778816533,0.07010593643863317,105,64,83,0.009098651032268786,0.01162185938177091,
17,1,0,0,250,0.9827071689088893,1.1234073534765194,-0.14070018456763012,78,97,77,0.005491691041103319,0.006596804895664491,
18,1,0,0,250,1.1074154200040982,1.1451295506723511,-0.03771413066825291,83,87,82,0.005979295221807929,0.007189909344865686,
19,1,0,0,250,0.9366292578087951,0.9876069206842906,-0.05097766287549543,67,107,78,0.008438178168617895,0.01055486781120774,
