Episode,NumStateVars,TradeCost,TimeCost,EpsilonSteps,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,AStd,MStd,Strategy Wins (%)
1,7,0.001,0.0001,250,0.782769533942644,0.9846605196982396,-0.2018909857555956,82,79,91,0.0009638481113712187,0.0007327527083713155,
2,7,0.001,0.0001,250,0.786981703931659,1.004373055251871,-0.21739135132021203,88,75,89,0.0008143464429066621,0.0005670001224198075,
3,7,0.001,0.0001,250,0.7887616718040158,0.9868630060533213,-0.19810133424930554,85,66,101,0.0011299901512885602,0.001046867269411353,
4,7,0.001,0.0001,250,0.8014296546708719,1.00052458190822,-0.19909492723734812,92,75,85,0.0008064448654657377,0.0004259228876983733,
5,7,0.001,0.0001,250,0.799770593359499,0.996175468661832,-0.19640487530233308,88,70,94,0.000790930050012,0.0004567697130362742,
6,7,0.001,0.0001,250,0.7972664114088881,1.0087987033489816,-0.2115322919400935,68,94,90,0.0007596049302899539,0.0005357089231882551,
7,7,0.001,0.0001,250,0.7818578606752898,1.0163061061622414,-0.23444824548695153,81,95,76,0.0008424221603654936,0.0004289997187830454,
8,7,0.001,0.0001,250,0.7750786867089604,1.0165281832472517,-0.24144949653829129,92,80,80,0.0010991283246549936,0.0009198370004229788,
9,7,0.001,0.0001,250,0.794114470123593,1.0138861809752806,-0.21977171085168756,85,95,72,0.0007719825771378085,0.0004772329493229655,
10,7,0.001,0.0001,250,0.7831569788234268,1.0033945594047873,-0.22023758058136045,77,84,91,0.0015822535085356748,0.0016152388568802772,
11,7,0.001,0.0001,250,0.7936055895879306,0.9998322429122639,-0.20622665332433332,87,88,77,0.0007976569439898667,0.000415491121282128,
12,7,0.001,0.0001,250,0.7841210700869546,0.9894281284988375,-0.2053070584118829,87,75,90,0.0011137851830403192,0.001152679224958371,
13,7,0.001,0.0001,250,0.7985597125611276,1.0032514759989763,-0.20469176343784878,112,68,72,0.0008655039210291028,0.0006383088317985595,
14,7,0.001,0.0001,250,0.7955796562243136,0.9811150702158876,-0.18553541399157403,96,79,77,0.0007505942467756466,0.0005229192688937504,
15,7,0.001,0.0001,250,0.7959580427810705,0.987966126875651,-0.19200808409458048,87,80,85,0.0011278049540874562,0.0010120890675158255,
16,7,0.001,0.0001,250,0.7865805261929315,0.9921520315743833,-0.20557150538145175,103,65,84,0.0014895872946058212,0.0018636566457717592,
17,7,0.001,0.0001,250,0.7823192196034421,1.0036540803897684,-0.22133486078632636,81,91,80,0.000828751091844744,0.0004834604587945602,
18,7,0.001,0.0001,250,0.7839243685469942,0.9771636203479414,-0.19323925180094714,85,84,83,0.0011460768847081164,0.0011658293016640227,
19,7,0.001,0.0001,250,0.7784570029452577,1.0003976226351907,-0.22194061968993306,71,96,85,0.000810586592104021,0.00039744112620444837,
20,7,0.001,0.0001,250,0.8128530715255889,1.0102049622437983,-0.19735189071820936,76,98,78,0.0010953176338185946,0.000869848518983773,
21,7,0.001,0.0001,250,0.7980119670688502,1.0167969256012779,-0.21878495853242763,84,98,70,0.0008086444924037883,0.00042644448996664104,
22,7,0.001,0.0001,250,0.8040525855274463,0.9982646817060922,-0.19421209617864588,99,77,76,0.001567594614699559,0.0018501912354700275,
23,7,0.001,0.0001,250,0.8054171377813785,1.0026909977715177,-0.19727385999013924,80,84,88,0.0008111561629583896,0.000429108497722638,
24,7,0.001,0.0001,250,0.7935098251519946,1.0110468739925635,-0.2175370488405689,83,83,86,0.0008572055756723274,0.0006477348276936995,
25,7,0.001,0.0001,250,0.8046804529357741,1.0147430960501689,-0.21006264311439482,77,84,91,0.0009795228043331355,0.0007684748830985411,
26,7,0.001,0.0001,250,0.804674281363686,1.0147978279211671,-0.2101235465574811,74,91,87,0.0008160390831323952,0.0003943738056057028,
27,7,0.001,0.0001,250,0.8010466095428235,1.0081506651564613,-0.20710405561363787,69,95,88,0.0009825788382574708,0.000798096366327107,
28,7,0.001,0.0001,250,0.8122432717080988,0.9738107963655801,-0.16156752465748125,89,73,90,0.0010895901897389918,0.0011901132477556199,
29,7,0.001,0.0001,250,0.7830581353140758,1.0035065863842927,-0.22044845107021693,64,98,90,0.0016787284411135179,0.0018046211870728984,
30,7,0.001,0.0001,250,0.7999075986913537,1.022368008597915,-0.22246040990656124,86,74,92,0.0008452406358964012,0.0006609280769863953,
31,7,0.001,0.0001,250,0.8067934870823179,0.9840616534722076,-0.17726816638988974,85,73,94,0.0008575869132109882,0.0007361198164112111,
32,7,0.001,0.0001,250,0.810417000031639,1.0141887592788985,-0.20377175924725954,90,77,85,0.0007258608781002553,0.00038264327600646454,
33,7,0.001,0.0001,250,0.8105261481917012,1.0181157805606311,-0.2075896323689299,94,70,88,0.0008075717478425011,0.0007722888816000501,
34,7,0.001,0.0001,250,0.7843901519497446,0.9551610581641334,-0.17077090621438884,79,78,95,0.0012592788704275215,0.0012685024052559114,
35,7,0.001,0.0001,250,0.8267620453998289,1.015480095334734,-0.18871804993490515,85,75,92,0.0017619773877111911,0.0019091648633406105,
36,7,0.001,0.0001,250,0.7744372704421743,0.9956721031872933,-0.22123483274511901,85,72,95,0.0008547697711653963,0.0005801462054498736,
37,7,0.001,0.0001,250,0.810546774820003,1.0201212547227838,-0.20957447990278077,91,76,85,0.0010937581489059544,0.001011907168860731,
