Episode,NumStateVars,TradeCost,TimeCost,EpsilonSteps,TrainAgent,TrainMarket,TrainDifference,Holds,Buys,Shorts,stdA,stdM,Strategy Wins (%)
45,3,0.001,0.0001,250,0.8070489891360707,1.0083388049901494,-0.20128981585407868,73,106,73,0.0011182824069114947,0.0012709323414404965,
46,3,0.001,0.0001,250,0.8518669532218976,1.0147484493452796,-0.16288149612338199,70,91,91,0.001657580882358107,0.001708172987824303,
47,3,0.001,0.0001,250,0.8201571826503539,0.9915591927674714,-0.17140201011711753,77,101,74,0.0007848634702797324,0.0006000910007593794,
48,3,0.001,0.0001,250,0.8132930977851566,0.9963935779617191,-0.18310048017656255,90,83,79,0.0011403603302719664,0.0010005582153190733,
49,3,0.001,0.0001,250,0.7904950278396925,1.0070744001903802,-0.2165793723506877,68,87,97,0.0011392444051098077,0.0009256070571040132,
50,3,0.001,0.0001,250,0.7811577842265461,0.9921597189494883,-0.21100193472294215,49,99,104,0.0009338156327357128,0.0006131868532412679,
51,3,0.001,0.0001,250,0.8233349092512893,0.984507802311463,-0.16117289306017368,64,71,117,0.0013682872884467742,0.0012808770543642895,
52,3,0.001,0.0001,250,0.8129688563062234,0.9929160980048085,-0.17994724169858511,74,82,96,0.001231397624430668,0.001262375372972638,
53,3,0.001,0.0001,250,0.8349380631713036,1.016711823501286,-0.18177376032998238,73,73,106,0.001479783507719588,0.001471396833301919,
54,3,0.001,0.0001,250,0.8522489411087029,1.0233562315996085,-0.17110729049090567,62,114,76,0.0010710490640468886,0.0008358345661975137,
55,3,0.001,0.0001,250,0.8231525625671853,1.022381785543867,-0.19922922297668177,92,82,78,0.0010631176607254608,0.0009519207728325589,
56,3,0.001,0.0001,250,0.8355057228811879,0.9756375427219358,-0.14013181984074796,84,96,72,0.0009655944045353215,0.0008509084020225832,
57,3,0.001,0.0001,250,0.8130240132095691,1.0020073888995662,-0.18898337568999712,71,106,75,0.0008172177847557549,0.000506485620919928,
58,3,0.001,0.0001,250,0.8121569259404493,0.9610240990889904,-0.14886717314854114,77,67,108,0.0015054702555737831,0.001513436963834478,
59,3,0.001,0.0001,250,0.8209068735799244,0.9838311395503654,-0.16292426597044096,70,104,78,0.001227141090096693,0.0010573735879655882,
60,3,0.001,0.0001,250,0.825047563796387,1.0074917720422647,-0.1824442082458777,64,119,69,0.001179427471474817,0.001018319726023335,
61,3,0.001,0.0001,250,0.8048288825697066,0.9837157500919094,-0.17888686752220273,82,92,78,0.001019415465276647,0.001096889684689007,
62,3,0.001,0.0001,250,0.8148762425075253,0.9970549319219775,-0.18217868941445214,78,106,68,0.000910646053954061,0.0007797407527400729,
63,3,0.001,0.0001,250,0.8250912155355689,0.9991898863709019,-0.17409867083533304,68,91,93,0.0007788685506574981,0.00047219565079329866,
64,3,0.001,0.0001,250,0.8305046074022272,0.9815645973154362,-0.15105998991320901,88,86,78,0.0008605767895761955,0.0005362677080362232,
65,3,0.001,0.0001,250,0.8286680517537397,1.0097527784078,-0.18108472665406028,90,61,101,0.0011318093008425155,0.0014981520499268346,
66,3,0.001,0.0001,250,0.8180160984840271,0.9819912750091334,-0.1639751765251063,79,85,88,0.00117816889237973,0.0009747179562780611,
67,3,0.001,0.0001,250,0.7906307941292188,0.9938513009471706,-0.20322050681795178,68,69,115,0.0017878671396368041,0.0018367728431746468,
68,3,0.001,0.0001,250,0.807487435345202,1.010897697861325,-0.20341026251612315,70,69,113,0.0017464473446576537,0.001738204000803799,
69,3,0.001,0.0001,250,0.8507297818180942,1.0200919929517827,-0.16936221113368843,81,88,83,0.0016744499876850019,0.0016286020107597703,
70,3,0.001,0.0001,250,0.8291402631078217,0.9975178670774993,-0.1683776039696776,72,105,75,0.0007946248572629171,0.00044514418650866926,
71,3,0.001,0.0001,250,0.8459652468451228,1.0079324353217887,-0.1619671884766659,68,98,86,0.0007716568610379022,0.00035534058990826015,
72,3,0.001,0.0001,250,0.833733138476811,0.9930339567977503,-0.15930081832093934,80,87,85,0.0008817406184268778,0.0006043613007412647,
73,3,0.001,0.0001,250,0.8467184882654822,1.0176931884464993,-0.17097470018101701,83,84,85,0.0007112269867573859,0.00042514391828233944,
74,3,0.001,0.0001,250,0.880532325278583,1.0116394575451335,-0.13110713226655046,84,87,81,0.0010168662629153706,0.0010126952062845973,
75,3,0.001,0.0001,250,0.8228892250265247,1.0131617830919961,-0.1902725580654714,76,89,87,0.0011314573731152071,0.0014219601075325182,
76,3,0.001,0.0001,250,0.8341844573481711,0.9958650382590536,-0.16168058091088244,69,101,82,0.0008531480804114764,0.0005795492461488859,
77,3,0.001,0.0001,250,0.8403361945839352,0.9963646472638629,-0.1560284526799277,69,97,86,0.0008061055368125952,0.0004451575211533564,
78,3,0.001,0.0001,250,0.8219752663205381,1.0179202364732227,-0.19594497015268464,58,91,103,0.0016881147547838167,0.0016901247239742099,
79,3,0.001,0.0001,250,0.8287592443872164,1.012837645409338,-0.18407840102212158,79,91,82,0.0008298435275090593,0.0005766748881592301,
80,3,0.001,0.0001,250,0.8299306967085592,0.9806057214198066,-0.15067502471124739,77,69,106,0.0016333996066147853,0.0015311414319395171,
81,3,0.001,0.0001,250,0.8183520659194145,0.998009720941927,-0.17965765502251252,57,115,80,0.0008563043078247037,0.00056335331271246,
82,3,0.001,0.0001,250,0.8156037988200707,0.9565664747476944,-0.14096267592762368,59,92,101,0.0012847935484183192,0.0012497318058007176,
83,3,0.001,0.0001,250,0.8182473883647173,0.9887138940253769,-0.17046650566065957,58,98,96,0.0009042899539174512,0.0005921253305956031,
84,3,0.001,0.0001,250,0.8421195234149125,0.9945799457994577,-0.15246042238454527,75,73,104,0.0008298666482302816,0.0006078016775691975,
85,3,0.001,0.0001,250,0.8271716444488829,0.9952187833511202,-0.16804713890223733,51,112,89,0.0009351444125684368,0.0005950430237905553,
86,3,0.001,0.0001,250,0.8376579285394843,0.9959538784067068,-0.1582959498672225,67,102,83,0.0007778378848554254,0.0003786592911943796,
87,3,0.001,0.0001,250,0.8228786686867346,1.013251607890535,-0.19037293920380027,64,102,86,0.0009483379029588346,0.0007011539830164105,
88,3,0.001,0.0001,250,0.8318455080158584,0.9875152579394828,-0.15566974992362437,66,97,89,0.0009519084942265629,0.0014465942942281605,
89,3,0.001,0.0001,250,0.8267978924817708,0.9972872456792831,-0.17048935319751224,51,109,92,0.0012218877352593019,0.0011091419480321692,
90,3,0.001,0.0001,250,0.865192227211507,1.0033073524990153,-0.13811512528750824,50,111,91,0.0016997333547507892,0.0017439947506373492,
91,3,0.001,0.0001,250,0.82085700961493,0.976671414389917,-0.15581440477498698,66,88,98,0.0016277630723561863,0.0015813334917655396,
92,3,0.001,0.0001,250,0.8594575444245702,0.9898855126108316,-0.13042796818626134,61,86,105,0.0011825193512248282,0.0010460905803993431,
93,3,0.001,0.0001,250,0.8383982949565643,0.9869983880546361,-0.14860009309807187,63,79,110,0.0010428653735180514,0.0007511090167646585,
94,3,0.001,0.0001,250,0.8594208260708247,0.991588163344134,-0.13216733727330932,42,79,131,0.0011088506269421362,0.0013287339766754292,
95,3,0.001,0.0001,250,0.8652144518439161,0.9934748623603785,-0.12826041051646242,48,98,106,0.0017312882449690634,0.0018268760705782761,
96,3,0.001,0.0001,250,0.8349842751833408,1.0051805833421084,-0.17019630815876752,47,97,108,0.0008695647681127077,0.0004355160450832011,
97,3,0.001,0.0001,250,0.848037883612843,0.986727472196529,-0.13868958858368596,52,96,104,0.0010839260112897801,0.0010854352242373724,
98,3,0.001,0.0001,250,0.8664696089596504,0.9753468539641995,-0.1088772450045491,48,85,119,0.001059006029481332,0.00098037141440898,
99,3,0.001,0.0001,250,0.8200913840432092,0.9908673803801609,-0.17077599633695162,65,73,114,0.0011587093751406277,0.0010472909428293183,
100,3,0.001,0.0001,250,0.8301022093837183,0.9921956060811123,-0.1620933966973941,55,96,101,0.001808515148393497,0.001862563458347334,0.0
101,3,0.001,0.0001,250,0.8245994858850807,0.9970029114574417,-0.172403425572361,56,64,132,0.0009484166347164283,0.0007319813417870975,0.0
102,3,0.001,0.0001,250,0.8352506205060691,1.0139306885544903,-0.17868006804842118,63,97,92,0.0015651035836336802,0.001434301792503884,0.0
103,3,0.001,0.0001,250,0.8441610197290409,0.996202666666668,-0.15204164693762712,47,99,106,0.0009338087555463032,0.000668750318217253,0.0
104,3,0.001,0.0001,250,0.857794973756402,1.0019099991604392,-0.1441150254040372,45,112,95,0.0008333761183912554,0.00042973361328507476,0.0
105,3,0.001,0.0001,250,0.8535879320239236,0.9933193607545201,-0.13973142873059652,57,60,135,0.0010371826835235466,0.0008414784121861302,0.0
106,3,0.001,0.0001,250,0.8405044236068607,1.0166585215562112,-0.17615409794935044,46,82,124,0.0007720639481641778,0.00030569721870738473,0.0
107,3,0.001,0.0001,250,0.8273618863502276,1.0300477332218827,-0.20268584687165514,45,89,118,0.0012013988165170725,0.0010068486898966668,0.0
108,3,0.001,0.0001,250,0.8477760778162595,0.9938706775725369,-0.14609459975627737,56,83,113,0.0007639515521545129,0.00045984998014622495,0.0
109,3,0.001,0.0001,250,0.8514196219063478,0.9984278422673543,-0.14700822036100647,53,67,132,0.0008909095545911867,0.0006424408108774805,0.0
110,3,0.001,0.0001,250,0.8536338108951504,0.9690218824149744,-0.115388071519824,50,81,121,0.0012602500468925045,0.0011606656334131743,0.0
111,3,0.001,0.0001,250,0.8480953865745098,1.0180728125814587,-0.16997742600694887,67,64,121,0.0008078544343887561,0.0008552621106039353,0.0
112,3,0.001,0.0001,250,0.8686057515528919,0.9867580686366344,-0.11815231708374252,56,91,105,0.0016902474518966204,0.0016290654134271637,0.0
113,3,0.001,0.0001,250,0.8463244255749497,0.9862954662989128,-0.13997104072396316,53,90,109,0.0014639079078222648,0.0012530820919809979,0.0
114,3,0.001,0.0001,250,0.8613806507283405,0.9813683769541166,-0.11998772622577614,43,95,114,0.0011735165463732276,0.000967251181707251,0.0
115,3,0.001,0.0001,250,0.8361059960837112,1.0092202437587783,-0.1731142476750671,55,74,123,0.001575017917331527,0.0017333516849328049,0.0
116,3,0.001,0.0001,250,0.8636975359101543,1.007933930311324,-0.14423639440116964,66,66,120,0.0018562660426349289,0.0018013512758706773,0.0
117,3,0.001,0.0001,250,0.8346510248810386,1.0113879464961006,-0.17673692161506205,53,92,107,0.0008121894731612033,0.0004575363146404456,0.0
118,3,0.001,0.0001,250,0.8611917168999558,1.0053819870921628,-0.14419027019220698,55,72,125,0.0010633405131507305,0.0009279204631879118,0.0
119,3,0.001,0.0001,250,0.8345555420691043,1.0005753862546618,-0.16601984418555749,50,78,124,0.0007888008047360784,0.000498431593507974,0.0
120,3,0.001,0.0001,250,0.8414639453977003,1.0099939430648095,-0.1685299976671092,63,101,88,0.0010626064701197183,0.0009287841036250813,0.0
121,3,0.001,0.0001,250,0.8406949326761206,1.003260373917008,-0.16256544124088745,57,74,121,0.0016942207247663773,0.001713472031401648,0.0
122,3,0.001,0.0001,250,0.8538581208557471,1.0212269753179741,-0.16736885446222705,46,88,118,0.000948867733974396,0.0007610137584752466,0.0
123,3,0.001,0.0001,250,0.8618633548730311,1.0115884556069632,-0.14972510073393208,52,67,133,0.0011953751851479142,0.0011489301836389173,0.0
124,3,0.001,0.0001,250,0.8559845234154742,0.9963651141263847,-0.14038059071091058,51,68,133,0.0015467370035696889,0.0014109270922261527,0.0
125,3,0.001,0.0001,250,0.8704869011294093,0.989544789605028,-0.11905788847561871,40,81,131,0.0012798167568898384,0.0011548270092707597,0.0
126,3,0.001,0.0001,250,0.8511203300390255,1.027815557407976,-0.17669522736895038,50,88,114,0.0010095831402423471,0.0010035831450906155,0.0
127,3,0.001,0.0001,250,0.8630013905403904,0.9973093021269341,-0.13430791158654376,39,85,128,0.00100510117209862,0.0007788524282707675,0.0
128,3,0.001,0.0001,250,0.8481973912956909,0.9902093622973019,-0.142011971001611,40,83,129,0.0012269463439681465,0.001053893827587727,0.0
129,3,0.001,0.0001,250,0.8266228241716812,0.9984988400127376,-0.17187601584105638,56,91,105,0.0017355664251253902,0.001706086337116667,0.0
130,3,0.001,0.0001,250,0.8530108183543923,1.0202633085289068,-0.1672524901745145,46,90,116,0.001434247905575147,0.0016278673276025437,0.0
131,3,0.001,0.0001,250,0.854402046166913,0.9941915926483357,-0.13978954648142272,41,70,141,0.0008012843723399242,0.0005735822475265114,0.0
132,3,0.001,0.0001,250,0.8739305286261283,0.990846486162795,-0.11691595753666673,41,92,119,0.000851823378576116,0.0006384280252795272,0.0
133,3,0.001,0.0001,250,0.8825948251414723,1.0137838742054204,-0.13118904906394813,57,71,124,0.0008617063649092952,0.0006351220277220533,0.0
134,3,0.001,0.0001,250,0.8678309344386138,1.0091647083956412,-0.1413337739570274,35,125,92,0.0007778492869126167,0.00034893248570475407,0.0
135,3,0.001,0.0001,250,0.8830436263477881,1.0151399433936845,-0.13209631704589642,46,133,73,0.0010194043900955386,0.0009145123354653638,0.0
136,3,0.001,0.0001,250,0.8791105303813014,0.9939163165266099,-0.11480578614530856,46,81,125,0.0009548941136883345,0.0007164156930145116,0.0
137,3,0.001,0.0001,250,0.8593159421413419,0.9996798975672204,-0.14036395542587854,40,101,111,0.0008522400373637728,0.00048390614075102795,0.0
138,3,0.001,0.0001,250,0.8831438831112284,1.0159600889791165,-0.13281620586788812,39,73,140,0.0010316673984064873,0.0008145994368162243,0.0
139,3,0.001,0.0001,250,0.8656041360525639,1.0198362228618603,-0.15423208680929634,27,79,146,0.0010226177753752516,0.0007934926194827545,0.0
140,3,0.001,0.0001,250,0.8550433150351852,0.9877906976744215,-0.13274738263923636,30,131,91,0.0010994311600344856,0.0010906053311373239,0.0
141,3,0.001,0.0001,250,0.8669174314057095,1.0033385826771668,-0.13642115127145726,31,71,150,0.0007888709708900482,0.0004849699610683482,0.0
142,3,0.001,0.0001,250,0.8805444745825022,1.002822623757085,-0.1222781491745828,33,68,151,0.0008911905620978126,0.0006461604530514179,0.0
143,3,0.001,0.0001,250,0.8615994866076359,0.985763505168043,-0.12416401856040715,34,84,134,0.001315093921104407,0.0011781804963485257,0.0
144,3,0.001,0.0001,250,0.8545980052410723,1.0218066519994813,-0.16720864675840896,50,91,111,0.0009801718902437554,0.0007556006861333212,0.0
145,3,0.001,0.0001,250,0.8619844671571124,1.0158638847711143,-0.15387941761400192,40,89,123,0.0009214304486873409,0.0007201024522033584,0.0
146,3,0.001,0.0001,250,0.8740372910504541,1.0139158576051777,-0.13987856655472353,42,72,138,0.0009682952369629989,0.0008536892930898985,0.0
147,3,0.001,0.0001,250,0.8741842421032977,0.9874774342451034,-0.11329319214180567,39,120,93,0.0020217084106529766,0.0018688705365663475,0.0
148,3,0.001,0.0001,250,0.8927766466633483,0.9760557533917374,-0.08327910672838912,38,90,124,0.0012281043992908107,0.0010393516617778402,0.0
149,3,0.001,0.0001,250,0.8638012801423878,0.985557823577182,-0.12175654343479425,42,85,125,0.0009412384887822122,0.0008262201124543204,0.0
150,3,0.001,0.0001,250,0.8677661050360451,0.9951152304609205,-0.12734912542487542,33,56,163,0.000764641127994247,0.00040895442744525226,0.0
151,3,0.001,0.0001,250,0.8720410957023094,1.0156784492588387,-0.1436373535565293,45,81,126,0.000849598217449514,0.0005780193400080118,0.0
152,3,0.001,0.0001,250,0.8740744870573318,1.0179174817712968,-0.143842994713965,51,76,125,0.0008499660062200298,0.000617186346717436,0.0
153,3,0.001,0.0001,250,0.8972347578365327,0.99804406233208,-0.10080930449554726,43,86,123,0.0009269934939410336,0.0007516013215912133,0.0
154,3,0.001,0.0001,250,0.8667992001151292,1.0248500617392846,-0.15805086162415538,34,100,118,0.0012713616826960544,0.0010952872633525797,0.0
155,3,0.001,0.0001,250,0.9016552954260105,1.0041782420268928,-0.10252294660088224,35,78,139,0.0008051726738868693,0.0006634382991811097,0.0
156,3,0.001,0.0001,250,0.8851871623654816,0.9757518673471629,-0.09056470498168134,45,65,142,0.001005758041874086,0.0008511282434905909,0.0
157,3,0.001,0.0001,250,0.8846276705043624,1.044872542388693,-0.16024487188433068,32,56,164,0.001223798949737129,0.001156765041934398,0.0
158,3,0.001,0.0001,250,0.9282366446844413,0.9920849198107751,-0.06384827512633373,43,101,108,0.00159390915699207,0.0015609554749364562,0.0
159,3,0.001,0.0001,250,0.9096742883302035,0.9831984114861764,-0.0735241231559729,27,85,140,0.0012593794513625365,0.001107726206232581,0.0
160,3,0.001,0.0001,250,0.8937521300129478,1.0220403300533913,-0.1282882000404435,27,102,123,0.0008715838267765493,0.0006869181587064264,0.0
161,3,0.001,0.0001,250,0.8838275399003112,0.9866536880813292,-0.1028261481810181,29,99,124,0.0013374924538723603,0.00120480390946399,0.0
162,3,0.001,0.0001,250,0.8623512653358901,0.9830587635869564,-0.1207074982510663,32,91,129,0.0011241003447065995,0.0009430733054567631,0.0
163,3,0.001,0.0001,250,0.8844989874986621,0.9618332378980743,-0.07733425039941222,31,100,121,0.001293117467611019,0.0012101334651176453,0.0
164,3,0.001,0.0001,250,0.8734880504420361,1.0020217391304358,-0.12853368868839965,35,84,133,0.0011427310214226286,0.0009662172388973673,0.0
165,3,0.001,0.0001,250,0.874395931741538,0.9951466689472341,-0.12075073720569618,37,87,128,0.0010670389991138574,0.000981089847306253,0.0
166,3,0.001,0.0001,250,0.864624656194471,1.0008528504887477,-0.13622819429427668,36,90,126,0.0013602381725256083,0.001220520677283788,0.0
167,3,0.001,0.0001,250,0.9134017321366449,0.9984988400127376,-0.0850971078760927,35,77,140,0.001728765184454168,0.001706086337116667,0.0
168,3,0.001,0.0001,250,0.8833272206223195,1.0208001396861435,-0.13747291906382397,33,79,140,0.0007555547667752919,0.0005212024473176922,0.0
169,3,0.001,0.0001,250,0.881245150253624,1.0217156224483033,-0.14047047219467923,30,73,149,0.0008117520224531601,0.0006121233099372487,0.0
170,3,0.001,0.0001,250,0.9071824589508435,0.9932997975328225,-0.08611733858197901,24,91,137,0.0007481548424811818,0.00044588742402567396,0.0
171,3,0.001,0.0001,250,0.8811596528286759,1.0073781009409752,-0.12621844811229932,25,109,118,0.0008216556367057459,0.0004873763031672232,0.0
172,3,0.001,0.0001,250,0.8788740348464648,1.0164341505259817,-0.13756011567951698,33,75,144,0.0009751412842462106,0.0008235931072429843,0.0
173,3,0.001,0.0001,250,0.8688853056030872,0.9832412234578105,-0.11435591785472332,34,85,133,0.0014886789485876514,0.0013752607606359614,0.0
174,3,0.001,0.0001,250,0.8999327495852517,1.0028107831864037,-0.102878033601152,34,100,118,0.0007130937066105292,0.00046318147198989634,0.0
175,3,0.001,0.0001,250,0.9230589333343899,0.9687312730074472,-0.04567233967305728,25,36,191,0.0016726004923059755,0.0015754714624584428,0.0
176,3,0.001,0.0001,250,0.893344228375821,0.9870577138219239,-0.09371348544610292,26,176,50,0.000993126216841147,0.0009171706381227124,0.0
177,3,0.001,0.0001,250,0.8520904147150823,0.9973686016978235,-0.1452781869827412,30,140,82,0.0018591979104393705,0.0018617795106757793,0.0
178,3,0.001,0.0001,250,0.8924519649638435,0.9990610128257102,-0.10660904786186676,29,100,123,0.0008016412588591067,0.000489314640267087,0.0
179,3,0.001,0.0001,250,0.9154701976332323,0.9881468319320446,-0.07267663429881221,24,139,89,0.0012437653816194222,0.001194986692234582,0.0
180,3,0.001,0.0001,250,0.893582874191887,1.0093307593307574,-0.11574788513887047,26,155,71,0.0016936567124085631,0.0017099017829768847,0.0
181,3,0.001,0.0001,250,0.8889250471054918,1.0237156851577616,-0.13479063805226976,19,150,83,0.001037104773176246,0.0008395603539674642,0.0
182,3,0.001,0.0001,250,0.8841278616698282,0.9934782608695659,-0.10935039919973777,27,98,127,0.0013980602264845987,0.0013318592350869758,0.0
183,3,0.001,0.0001,250,0.8973323802994714,0.9996850790451606,-0.1023526987456892,16,117,119,0.0007299727645981387,0.00033353223835224575,0.0
184,3,0.001,0.0001,250,0.910101570893222,0.9840023513604312,-0.07390078046720927,41,57,154,0.0007228106197606974,0.0005119833170102302,0.0
185,3,0.001,0.0001,250,0.9177576549469422,1.0179003597514449,-0.10014270480450271,22,74,156,0.000709028705736697,0.0005280924765037341,0.0
186,3,0.001,0.0001,250,0.9071122188537238,1.0014250089063068,-0.09431279005258297,24,59,169,0.0006546214397796321,0.00037747191765966147,0.0
187,3,0.001,0.0001,250,0.9021489575923819,0.9829845743995186,-0.08083561680713669,28,78,146,0.0011020824654339378,0.0009796537344160115,0.0
188,3,0.001,0.0001,250,0.9050150487979385,1.0059076715334632,-0.10089262273552468,28,35,189,0.0006532008875320503,0.00042319903234815874,0.0
189,3,0.001,0.0001,250,0.9101287185681203,1.0026616698251782,-0.09253295125705796,20,62,170,0.0007251312360714872,0.0004584758560825125,0.0
190,3,0.001,0.0001,250,0.9175981668251119,1.0123329021129808,-0.09473473528786891,24,116,112,0.0008503114775796599,0.0007041448053523912,0.0
191,3,0.001,0.0001,250,0.9314965288815268,0.9968674858264758,-0.06537095694494899,19,175,58,0.00130914646119174,0.001136826612671218,0.0
192,3,0.001,0.0001,250,0.8940014071021508,0.9671099767150274,-0.0731085696128766,24,118,110,0.0013838264584285515,0.0013097250838622876,0.0
193,3,0.001,0.0001,250,0.9303133114601583,0.9958025447072727,-0.06548923324711442,21,62,169,0.001148656158669186,0.0011021513868083729,0.0
194,3,0.001,0.0001,250,0.9074259816516437,0.9975373677673566,-0.0901113861157129,14,108,130,0.0009845787631834995,0.0009108726551488685,0.0
